ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-21T14:12:13.894122,0.0,82.3,167755867,1209784077,394849,956456,aggregate
2025-09-21T14:12:14.925090,29.6,82.4,167760811,1209801565,394877,956483,aggregate
2025-09-21T14:12:15.965393,4.7,82.5,171519555,1209923223,397687,958165,aggregate
2025-09-21T14:12:16.968559,3.8,82.5,174469712,1210047338,399894,959932,aggregate
2025-09-21T14:12:17.987013,5.4,82.5,177891588,1210169226,402450,961742,aggregate
2025-09-21T14:12:19.014750,5.3,82.5,181284214,1210282924,404970,963498,aggregate
2025-09-21T14:12:20.023847,2.3,82.5,184215304,1210398574,407165,965292,aggregate
2025-09-21T14:12:21.059095,5.1,82.4,187481171,1210513933,409606,967082,aggregate
2025-09-21T14:12:22.062852,5.2,82.3,190701878,1210618965,412023,968762,aggregate
2025-09-21T14:12:23.083030,4.9,82.3,193729876,1210737507,414327,970556,aggregate
2025-09-21T14:12:24.102963,6.2,82.3,197021573,1210854078,416825,972422,aggregate
2025-09-21T14:12:25.122853,6.6,82.4,201162063,1210976660,419932,974292,aggregate
2025-09-21T14:12:26.143191,3.1,82.4,203245267,1211089090,421503,976102,aggregate
2025-09-21T14:12:27.163084,5.7,82.4,206557888,1211218945,424000,977952,aggregate
2025-09-21T14:12:28.181908,5.1,82.4,209332995,1211343717,426119,979727,aggregate
2025-09-21T14:12:29.200257,5.4,82.4,212861634,1211458898,428778,981452,aggregate
2025-09-21T14:12:30.252208,5.8,82.4,215876313,1211581813,431053,983142,aggregate
2025-09-21T14:12:31.253226,7.4,82.6,219482397,1211697246,433763,984862,aggregate
2025-09-21T14:12:32.286988,4.2,82.4,221504060,1211799346,435294,986382,aggregate
2025-09-21T14:12:33.289038,2.2,82.4,225308868,1211909928,438147,987982,aggregate
2025-09-21T14:12:34.306548,6.8,82.4,227398267,1212024508,439715,989742,aggregate
2025-09-21T14:12:35.342670,3.6,82.5,231909591,1212139330,443112,991416,aggregate
2025-09-21T14:12:36.345169,4.1,82.4,235070558,1212238270,445480,993032,aggregate
2025-09-21T14:12:37.396835,4.7,82.3,237057649,1212354014,446984,994782,aggregate
2025-09-21T14:12:38.412414,13.3,82.5,239869280,1212464032,449131,996422,aggregate
2025-09-21T14:12:39.437586,17.6,82.9,243437055,1212585805,451840,998162,aggregate
2025-09-21T14:12:40.467369,7.1,83.7,245919924,1212695184,453719,999912,aggregate
2025-09-21T14:12:41.482180,21.5,82.4,247499036,1212807771,454926,1001612,aggregate
2025-09-21T14:12:42.502391,1.5,82.3,251078311,1212850921,457604,1002272,aggregate
2025-09-21T14:12:43.522489,5.0,82.4,255061729,1212963667,460599,1004062,aggregate
2025-09-21T14:12:44.573885,4.8,82.4,257798212,1213075193,462653,1005832,aggregate
2025-09-21T14:12:45.577878,3.0,82.4,259063664,1213181668,463612,1007559,aggregate
2025-09-21T14:12:46.593271,7.1,82.5,264391051,1213288980,467625,1009102,aggregate
2025-09-21T14:12:47.613637,3.7,82.5,265809724,1213391351,468699,1010772,aggregate
2025-09-21T14:12:48.632953,2.2,82.5,267908112,1213495732,470298,1012402,aggregate
2025-09-21T14:12:49.649133,2.4,82.5,271669314,1213610199,473129,1014252,aggregate
2025-09-21T14:12:50.666075,7.4,82.4,275815078,1213736990,476246,1016102,aggregate
2025-09-21T14:12:51.684957,4.6,82.3,278334097,1213845938,478145,1017822,aggregate
2025-09-21T14:12:52.703771,3.6,82.3,281342005,1213958307,480398,1019522,aggregate
2025-09-21T14:12:53.736116,4.5,82.4,285477251,1214072028,483507,1021272,aggregate
2025-09-21T14:12:54.739568,3.4,82.3,287527277,1214177234,485053,1022952,aggregate
2025-09-21T14:12:55.776815,3.1,82.4,289884808,1214291938,486839,1024702,aggregate
2025-09-21T14:12:56.794758,6.5,82.4,294236057,1214411789,490123,1026492,aggregate
2025-09-21T14:12:57.811947,7.6,82.3,296620606,1214526513,491921,1028202,aggregate
2025-09-21T14:12:58.862393,11.0,82.4,300628944,1214637950,494934,1029922,aggregate
2025-09-21T14:12:59.868028,5.6,82.3,300643547,1214738773,494965,1031566,aggregate
2025-09-21T14:13:00.000400,3.7,82.3,300645763,1214760070,494979,1031591,aggregate
