ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T16:49:22.649199,0.0,79.7,1331798746,751938908,315108,880072,aggregate
2025-09-25T16:49:23.678103,29.0,79.9,1331908639,751999472,315246,880173,aggregate
2025-09-25T16:49:24.712169,7.0,80.0,1338470143,752106315,320152,881529,aggregate
2025-09-25T16:49:25.729919,5.3,80.0,1345100046,752230422,325121,883049,aggregate
2025-09-25T16:49:26.778867,6.5,80.0,1350812293,752327772,329388,884407,aggregate
2025-09-25T16:49:27.782297,5.0,80.1,1356029302,752409072,333301,885533,aggregate
2025-09-25T16:49:28.801825,5.3,80.1,1361241049,752492010,337203,886730,aggregate
2025-09-25T16:49:29.822322,8.2,80.0,1366559983,752580950,341192,887921,aggregate
2025-09-25T16:49:30.857960,5.1,79.9,1372837827,752666486,345887,889068,aggregate
2025-09-25T16:49:31.875336,6.4,79.9,1378950684,752753292,350470,890135,aggregate
2025-09-25T16:49:32.893886,7.8,79.9,1384698335,752845542,354796,891327,aggregate
2025-09-25T16:49:33.914854,9.1,79.8,1390423112,752935132,359094,892530,aggregate
2025-09-25T16:49:34.942473,12.5,79.9,1396933397,753027241,363994,893752,aggregate
2025-09-25T16:49:35.973045,10.5,79.9,1402882029,753136554,368455,894985,aggregate
2025-09-25T16:49:36.989469,10.1,79.7,1408838439,753217392,372936,896061,aggregate
2025-09-25T16:49:38.019298,7.9,78.8,1414302212,753308694,377038,897335,aggregate
2025-09-25T16:49:39.033206,20.6,79.9,1420310748,753393860,381563,898497,aggregate
2025-09-25T16:49:40.049794,17.4,80.0,1426113598,753487714,385923,899768,aggregate
2025-09-25T16:49:41.075942,7.8,80.1,1431933048,753561189,390289,900778,aggregate
2025-09-25T16:49:42.090173,9.3,80.0,1436446965,753637213,393677,901794,aggregate
2025-09-25T16:49:43.105154,6.3,79.8,1442818213,753712261,398446,902724,aggregate
2025-09-25T16:49:44.143419,5.1,79.9,1448683766,753783497,402849,903714,aggregate
2025-09-25T16:49:45.162209,6.9,79.9,1454437716,753896101,407172,905093,aggregate
2025-09-25T16:49:46.197434,6.7,79.9,1460585721,753991703,411785,906322,aggregate
2025-09-25T16:49:47.203622,5.4,79.8,1465970666,754075828,415834,907373,aggregate
2025-09-25T16:49:47.538721,2.7,79.7,1466040912,754081006,415889,907408,aggregate
