file,blob,size_bytes,duration_s,retries,status,error
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (100).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (100).jpg,342951,1.3167258000466973,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (101).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (101).jpg,250952,1.4035743999993429,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (104).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (104).jpg,359717,1.6493734000250697,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (10).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (10).jpg,684551,1.8183481999440119,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (105).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (105).jpg,636006,1.8355505999643356,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (1).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (1).jpg,202198,1.8500309999799356,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (107).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (107).jpg,221704,0.4686526999576017,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (106).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (106).jpg,549794,0.5817835000343621,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (103).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (103).jpg,1039672,1.9974334000144154,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (109).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (109).jpg,293081,0.2851525000296533,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (112).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (112).jpg,215810,0.42168869997840375,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (110).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (110).jpg,383986,0.5854207000229508,0,ok,
TEST DATA\images_1080p\4k-3840-x-2160-wallpapers-themefoxx (113).jpg,images_1080p//4k-3840-x-2160-wallpapers-themefoxx (113).jpg,1051410,0.5619762000860646,0,ok,
