ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T20:27:17.727788,0.0,80.7,195277786,258302109,142301,287717,aggregate
2025-09-25T20:27:18.758981,25.9,80.6,195288939,258349183,142350,287787,aggregate
2025-09-25T20:27:19.789557,2.9,80.7,197769428,258420100,142663,288463,aggregate
2025-09-25T20:27:20.804847,6.0,80.6,200149858,258504035,143000,289413,aggregate
2025-09-25T20:27:21.822867,5.2,80.6,201961488,258589884,143400,290420,aggregate
2025-09-25T20:27:22.856897,2.8,80.6,203051929,258638107,143606,290940,aggregate
2025-09-25T20:27:23.869324,5.1,80.6,205228569,258714699,144018,291889,aggregate
2025-09-25T20:27:24.897090,4.9,80.6,207245814,258797099,144397,292894,aggregate
2025-09-25T20:27:25.930419,4.9,80.5,209264625,258882888,144899,293993,aggregate
2025-09-25T20:27:26.946325,5.2,80.5,211301095,258969890,145230,295009,aggregate
2025-09-25T20:27:27.975277,9.0,80.6,213600876,259048063,145577,295969,aggregate
2025-09-25T20:27:28.981047,12.2,80.4,215472243,259120024,145891,296751,aggregate
2025-09-25T20:27:29.992807,4.3,80.5,217504816,259184040,146181,297482,aggregate
2025-09-25T20:27:31.023155,4.2,80.6,219454885,259238960,146543,298188,aggregate
2025-09-25T20:27:32.039814,3.2,80.6,221305871,259325867,146877,298972,aggregate
2025-09-25T20:27:33.066383,3.4,80.6,223610835,259382383,147203,299614,aggregate
2025-09-25T20:27:34.082701,4.6,80.6,226130143,259447575,147590,300415,aggregate
2025-09-25T20:27:35.107608,2.8,80.6,229361010,259527588,147962,301322,aggregate
2025-09-25T20:27:36.123532,5.4,80.4,231633755,259594044,148285,302056,aggregate
2025-09-25T20:27:37.133958,6.1,80.6,233953769,259650014,148591,302732,aggregate
2025-09-25T20:27:38.164841,4.5,80.6,236334177,259722197,148954,303468,aggregate
2025-09-25T20:27:39.181486,4.9,80.3,238195561,259787118,149209,304141,aggregate
2025-09-25T20:27:40.738165,7.6,80.5,241052774,259853972,149637,304927,aggregate
2025-09-25T20:27:41.755003,15.7,80.6,243460808,259925970,149982,305718,aggregate
2025-09-25T20:27:42.961964,10.5,81.1,246492559,260006133,150380,306621,aggregate
2025-09-25T20:27:43.977701,20.7,80.7,248893240,260066731,150769,307355,aggregate
2025-09-25T20:27:44.993135,4.1,80.7,249919356,260113883,150946,307821,aggregate
2025-09-25T20:27:46.021571,4.7,80.6,252819293,260183481,151347,308626,aggregate
2025-09-25T20:27:47.045149,6.3,80.7,255634847,260259132,151774,309514,aggregate
2025-09-25T20:27:48.072205,5.3,80.7,258606690,260336547,152182,310354,aggregate
2025-09-25T20:27:49.101889,5.2,80.7,261338169,260405724,152570,311178,aggregate
2025-09-25T20:27:50.118495,6.4,80.7,263840474,260473548,152904,311981,aggregate
2025-09-25T20:27:51.163270,3.2,80.6,266724931,260547788,153306,312838,aggregate
2025-09-25T20:27:52.165436,4.7,80.5,268451053,260606269,153593,313461,aggregate
2025-09-25T20:27:53.181266,11.9,80.5,270976693,260657077,153989,314133,aggregate
2025-09-25T20:27:54.196685,2.4,80.6,273639886,260736804,154358,314993,aggregate
2025-09-25T20:27:55.227207,4.4,80.6,276233193,260807844,154688,315835,aggregate
2025-09-25T20:27:56.247401,5.5,80.5,277760280,260848368,154822,316278,aggregate
2025-09-25T20:27:57.271247,4.8,80.6,280431240,260919346,155169,317098,aggregate
2025-09-25T20:27:58.290115,3.2,80.6,282626987,260990178,155494,317839,aggregate
2025-09-25T20:28:00.148031,3.1,80.6,286018010,261075077,155944,318841,aggregate
2025-09-25T20:28:01.164706,6.3,80.6,288293357,261139636,156273,319513,aggregate
2025-09-25T20:28:02.209502,3.3,80.6,290906741,261210874,156692,320383,aggregate
2025-09-25T20:28:03.228193,4.7,80.6,293148641,261275412,157060,321171,aggregate
2025-09-25T20:28:04.258862,5.3,80.6,295318228,261329750,157387,321801,aggregate
2025-09-25T20:28:05.274745,3.2,80.6,297178832,261380626,157760,322413,aggregate
2025-09-25T20:28:06.290405,6.4,80.5,298952422,261440823,158113,323114,aggregate
2025-09-25T20:28:07.663708,3.3,80.5,301654672,261508869,158456,323892,aggregate
2025-09-25T20:28:09.055667,8.3,80.6,305040870,261600075,158951,324897,aggregate
2025-09-25T20:28:10.084363,10.2,80.4,307685455,261666375,159318,325718,aggregate
2025-09-25T20:28:11.086928,11.0,80.4,310084590,261733315,159622,326473,aggregate
2025-09-25T20:28:12.115062,7.4,79.4,311589075,261790841,159885,327057,aggregate
2025-09-25T20:28:13.540790,17.5,80.7,314621247,261852491,160256,327830,aggregate
2025-09-25T20:28:14.570659,10.0,80.4,317061599,261915627,160646,328575,aggregate
2025-09-25T20:28:15.587947,24.4,80.5,319168099,261979821,160992,329320,aggregate
2025-09-25T20:28:16.603014,9.5,80.2,319333252,261997017,161029,329444,aggregate
2025-09-25T20:28:18.765138,4.2,80.2,321912483,262060430,161376,330155,aggregate
2025-09-25T20:28:19.774369,5.1,80.2,323739319,262122602,161692,330849,aggregate
2025-09-25T20:28:23.773246,2.3,80.2,326308914,262200190,162123,331681,aggregate
2025-09-25T20:28:24.789866,4.9,80.2,328142535,262258346,162422,332308,aggregate
2025-09-25T20:28:25.819824,6.0,80.1,330169036,262314747,162778,332984,aggregate
2025-09-25T20:28:27.102505,2.7,80.1,331487386,262362334,163015,333472,aggregate
