ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T16:39:42.977506,0.0,78.9,122148159,65282195,35835,84437,aggregate
2025-09-25T16:39:44.000539,25.6,78.9,122738360,65336530,35955,84579,aggregate
2025-09-25T16:39:45.023104,6.2,79.0,128307509,65460714,36359,86200,aggregate
2025-09-25T16:39:46.071662,5.3,79.1,134715937,65571954,36637,87870,aggregate
2025-09-25T16:39:47.084603,4.9,79.0,140366953,65700087,36916,89630,aggregate
2025-09-25T16:39:48.086967,5.1,79.0,146833566,65813192,37225,91076,aggregate
2025-09-25T16:39:49.112707,5.1,79.0,152251568,65902780,37470,92369,aggregate
2025-09-25T16:39:50.148684,5.0,78.9,157919346,66012108,37744,93782,aggregate
2025-09-25T16:39:51.181120,3.8,78.9,164430733,66113536,38071,95147,aggregate
2025-09-25T16:39:52.196966,6.2,78.7,169877675,66212941,38354,96401,aggregate
2025-09-25T16:39:53.233038,9.0,78.3,176059541,66303048,38641,97593,aggregate
2025-09-25T16:39:54.249179,15.6,79.5,181529577,66390260,38882,98738,aggregate
2025-09-25T16:39:55.259337,12.2,79.2,187988436,66486361,39159,99948,aggregate
2025-09-25T16:39:56.286956,18.6,79.6,193134260,66562321,39412,101038,aggregate
2025-09-25T16:39:57.304429,8.7,79.2,198609015,66647133,39633,102193,aggregate
2025-09-25T16:39:58.320381,6.9,79.2,204626026,66757640,39935,103476,aggregate
2025-09-25T16:39:59.352103,5.0,79.2,210473311,66840450,40195,104516,aggregate
2025-09-25T16:40:00.359342,4.2,79.1,215320523,66923650,40451,105640,aggregate
2025-09-25T16:40:01.382996,5.7,79.1,220865950,67013131,40726,106880,aggregate
2025-09-25T16:40:02.415299,4.8,79.1,226178975,67094530,40984,108049,aggregate
2025-09-25T16:40:03.430938,11.6,79.0,232279301,67182948,41249,109187,aggregate
2025-09-25T16:40:04.453858,12.3,79.1,237493276,67269572,41452,110426,aggregate
2025-09-25T16:40:05.461940,5.0,79.1,241999703,67358240,41673,111577,aggregate
2025-09-25T16:40:06.483719,7.3,79.0,247723380,67454558,41920,112794,aggregate
2025-09-25T16:40:07.497923,3.1,79.0,253010068,67546177,42192,114000,aggregate
2025-09-25T16:40:08.026235,6.6,79.0,254416902,67590513,42274,114402,aggregate
