ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-05T18:07:11.416060,0.0,76.5,249594115,768021968,169811,1559578,aggregate
2025-09-05T18:07:12.437799,26.4,76.3,249596300,768045244,169821,1559613,aggregate
2025-09-05T18:07:13.459679,19.3,76.5,256528168,768348649,170171,1563628,aggregate
2025-09-05T18:07:14.478580,10.1,76.6,264020531,768655035,170498,1568436,aggregate
2025-09-05T18:07:15.511930,10.6,76.6,272432180,768915300,170878,1572569,aggregate
2025-09-05T18:07:16.529656,9.9,76.5,280891586,769126990,171260,1575883,aggregate
2025-09-05T18:07:17.547354,12.1,76.5,288860941,769324087,171622,1578884,aggregate
2025-09-05T18:07:18.607181,9.6,76.5,297204856,769540561,172030,1582079,aggregate
2025-09-05T18:07:19.629298,12.0,76.5,305283869,769742210,172397,1585115,aggregate
2025-09-05T18:07:20.673213,7.9,76.6,313805328,769948587,172782,1588266,aggregate
2025-09-05T18:07:21.699472,9.4,76.6,321433457,770130124,173122,1591098,aggregate
2025-09-05T18:07:22.726593,9.2,76.6,329307877,770327512,173493,1594051,aggregate
2025-09-05T18:07:23.751355,15.0,76.6,337230386,770519716,173856,1596952,aggregate
2025-09-05T18:07:24.785311,6.3,76.7,345652197,770717828,174228,1600038,aggregate
2025-09-05T18:07:25.818235,9.2,76.7,353586299,770920179,174605,1603023,aggregate
2025-09-05T18:07:26.834465,6.4,76.7,361328192,771107718,174935,1605900,aggregate
2025-09-05T18:07:27.874927,8.5,76.5,369592071,771305551,175296,1608945,aggregate
2025-09-05T18:07:28.910757,6.9,76.6,377546402,771501259,175661,1611869,aggregate
