ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-08-30T18:00:24.653911,0.0,79.2,108790929,128277682,41270,138154,aggregate
2025-08-30T18:00:25.689303,29.5,79.3,108867132,128316038,41317,138244,aggregate
2025-08-30T18:00:26.716364,5.7,79.4,110286876,128379273,41512,138791,aggregate
2025-08-30T18:00:27.749657,8.9,79.4,112698954,128440367,41696,139673,aggregate
2025-08-30T18:00:28.767426,7.0,79.4,115043289,128521547,41833,140866,aggregate
2025-08-30T18:00:29.787150,5.2,79.4,117516030,128596894,41964,142005,aggregate
2025-08-30T18:00:30.805295,7.4,79.5,119740890,128690152,42111,143180,aggregate
2025-08-30T18:00:31.863039,4.8,79.5,121802845,128780670,42240,144282,aggregate
2025-08-30T18:00:32.867307,5.4,79.5,123155493,128826153,42331,144855,aggregate
2025-08-30T18:00:33.886490,7.1,79.4,123749997,128847829,42348,145132,aggregate
2025-08-30T18:00:34.904251,3.1,79.5,124332493,128863928,42409,145336,aggregate
2025-08-30T18:00:35.922909,6.5,79.5,126025567,128922291,42560,146095,aggregate
2025-08-30T18:00:36.941480,5.9,79.2,127714619,128972458,42643,146780,aggregate
2025-08-30T18:00:37.961427,4.6,79.3,129709024,129022665,42753,147565,aggregate
2025-08-30T18:00:38.982169,6.8,79.3,132634947,129111742,42892,148833,aggregate
2025-08-30T18:00:39.998050,7.6,79.1,135681071,129193242,43073,150003,aggregate
2025-08-30T18:00:41.014174,7.0,79.1,139628570,129312934,43269,151522,aggregate
2025-08-30T18:00:42.032368,7.2,79.2,143511362,129401663,43472,152835,aggregate
2025-08-30T18:00:43.051490,5.5,79.1,147302274,129498450,43673,154104,aggregate
2025-08-30T18:00:44.069566,7.4,79.1,150907184,129586658,43860,155302,aggregate
2025-08-30T18:00:45.105743,4.8,79.1,153640034,129657575,43982,156266,aggregate
2025-08-30T18:00:46.139735,7.6,79.1,156354461,129728981,44111,157213,aggregate
2025-08-30T18:00:47.157203,9.0,79.1,158853732,129797622,44263,158072,aggregate
2025-08-30T18:00:48.185538,11.1,79.1,162001692,129867835,44441,159059,aggregate
2025-08-30T18:00:49.198826,13.1,79.1,165455370,129968374,44630,160186,aggregate
2025-08-30T18:00:50.203518,12.2,79.2,168421472,130042796,44768,161178,aggregate
2025-08-30T18:00:51.218825,10.5,79.2,171329864,130104502,44914,162097,aggregate
2025-08-30T18:00:52.235964,8.8,79.2,174301174,130185331,45060,163049,aggregate
2025-08-30T18:00:53.259537,7.8,79.2,177208308,130260588,45196,164063,aggregate
2025-08-30T18:00:54.271529,7.8,79.2,180097692,130326274,45367,164961,aggregate
2025-08-30T18:00:55.291549,5.5,79.2,181795480,130366320,45455,165519,aggregate
2025-08-30T18:00:56.326554,6.4,79.2,183314103,130399384,45529,165939,aggregate
2025-08-30T18:00:57.346391,6.3,79.2,185144842,130457104,45755,166699,aggregate
2025-08-30T18:00:58.380910,6.0,79.2,187980216,130545604,46110,167876,aggregate
2025-08-30T18:00:59.395645,5.9,79.2,190389602,130603966,46229,168682,aggregate
2025-08-30T18:01:00.414247,5.5,79.2,192090602,130649239,46320,169310,aggregate
2025-08-30T18:01:01.435272,4.6,79.2,193795508,130693422,46418,169915,aggregate
2025-08-30T18:01:02.456363,6.9,79.2,195460553,130748511,46541,170532,aggregate
2025-08-30T18:01:03.474621,6.1,79.2,196586444,130787240,46613,170956,aggregate
2025-08-30T18:01:04.493032,8.0,79.2,198195130,130835724,46743,171539,aggregate
2025-08-30T18:01:05.511448,8.8,79.2,199635206,130873436,46853,172038,aggregate
2025-08-30T18:01:06.530380,6.9,79.3,201310545,130923129,47091,172702,aggregate
2025-08-30T18:01:07.549858,8.3,79.2,203302965,130981299,47327,173450,aggregate
2025-08-30T18:01:08.584117,5.8,79.2,205581959,131041624,47512,174187,aggregate
2025-08-30T18:01:09.614983,6.1,79.2,207901584,131099036,47773,175005,aggregate
2025-08-30T18:01:10.637911,4.9,79.2,210264531,131171969,48132,176010,aggregate
2025-08-30T18:01:11.672651,6.4,79.2,212330610,131239699,48340,176768,aggregate
2025-08-30T18:01:12.690042,7.1,79.2,214081338,131287819,48469,177396,aggregate
2025-08-30T18:01:13.708604,4.9,79.2,215837828,131329788,48552,177998,aggregate
2025-08-30T18:01:14.741403,4.7,79.2,217517062,131370952,48652,178575,aggregate
2025-08-30T18:01:15.759354,7.9,79.0,219020522,131407226,48748,179090,aggregate
2025-08-30T18:01:16.777552,4.5,79.0,220531742,131446307,48830,179621,aggregate
2025-08-30T18:01:17.795228,4.3,79.1,222246062,131486628,48919,180172,aggregate
2025-08-30T18:01:18.837555,9.2,79.1,223991455,131525356,49016,180760,aggregate
2025-08-30T18:01:19.855450,4.2,79.2,225620742,131565136,49098,181264,aggregate
2025-08-30T18:01:20.866176,6.1,79.2,227316896,131615087,49198,181904,aggregate
2025-08-30T18:01:21.883280,7.0,79.0,228960103,131668553,49310,182492,aggregate
2025-08-30T18:01:22.903497,7.4,79.2,230620375,131708133,49399,183017,aggregate
2025-08-30T18:01:23.938235,3.8,79.2,232371463,131754587,49487,183628,aggregate
2025-08-30T18:01:24.957286,6.0,79.1,234103870,131795508,49575,184201,aggregate
2025-08-30T18:01:25.976018,4.1,79.1,235628739,131835136,49651,184709,aggregate
2025-08-30T18:01:26.998291,7.1,79.2,237334613,131874389,49751,185275,aggregate
2025-08-30T18:01:28.017162,4.9,79.1,239090009,131916280,49862,185806,aggregate
2025-08-30T18:01:29.056513,5.2,79.1,239687046,131941959,49983,186093,aggregate
2025-08-30T18:01:30.079636,5.5,79.1,240618386,131976828,50281,186590,aggregate
