ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-24T15:06:58.427919,0.0,72.0,2947290228,994601523,1619752,1678172,aggregate
2025-09-24T15:06:59.460446,32.0,72.1,2947373538,994655679,1619834,1678263,aggregate
2025-09-24T15:07:00.503523,8.8,72.2,2951257153,994752641,1620260,1679226,aggregate
2025-09-24T15:07:01.516337,6.4,72.1,2954786386,994864763,1620766,1680460,aggregate
2025-09-24T15:07:02.536028,10.4,72.1,2957371185,994961423,1621113,1681570,aggregate
2025-09-24T15:07:03.552011,8.6,72.2,2960421378,995048583,1621484,1682637,aggregate
2025-09-24T15:07:04.585605,8.8,72.2,2963880492,995144058,1621895,1683751,aggregate
2025-09-24T15:07:05.600503,11.7,72.1,2967242886,995244523,1622348,1684938,aggregate
2025-09-24T15:07:06.613156,10.2,72.0,2970448249,995337701,1622719,1686002,aggregate
2025-09-24T15:07:07.628469,10.3,72.1,2973461003,995437085,1623199,1687140,aggregate
2025-09-24T15:07:08.643601,13.3,71.3,2976179072,995863449,1623742,1688570,aggregate
2025-09-24T15:07:09.663536,40.7,72.6,2979489534,996036291,1624330,1689735,aggregate
2025-09-24T15:07:10.683889,34.9,73.3,2982790303,996252474,1625136,1691003,aggregate
2025-09-24T15:07:11.708324,15.3,73.2,2985835005,996345601,1625598,1691973,aggregate
2025-09-24T15:07:12.726173,22.5,73.0,2989229934,996431664,1626061,1692969,aggregate
2025-09-24T15:07:13.765260,9.9,72.9,2992294275,996509440,1626533,1693865,aggregate
2025-09-24T15:07:14.803993,7.5,72.9,2995393075,996587610,1626982,1694726,aggregate
2025-09-24T15:07:15.820113,7.9,72.9,2998664784,996733133,1627463,1695740,aggregate
2025-09-24T15:07:16.849787,10.5,72.8,3001311938,996806169,1627947,1696577,aggregate
2025-09-24T15:07:17.872044,13.3,72.7,3004274243,996883275,1628329,1697422,aggregate
2025-09-24T15:07:18.891126,12.8,72.8,3006969491,996953179,1628814,1698250,aggregate
2025-09-24T15:07:19.921255,12.3,72.7,3010234197,997046869,1629341,1699192,aggregate
2025-09-24T15:07:20.937268,9.8,72.5,3013239471,997122320,1629795,1700061,aggregate
2025-09-24T15:07:21.966044,10.8,72.5,3016084872,997191806,1630277,1700906,aggregate
2025-09-24T15:07:22.982587,6.8,72.5,3018846623,997262228,1630703,1701727,aggregate
2025-09-24T15:07:24.015934,6.2,72.5,3021620551,997333664,1631205,1702578,aggregate
2025-09-24T15:07:25.049945,9.3,72.4,3024460294,997405517,1631651,1703382,aggregate
2025-09-24T15:07:26.062392,6.8,72.3,3027222716,997481492,1632002,1704226,aggregate
2025-09-24T15:07:27.077689,5.9,72.3,3029922836,997547395,1632384,1705010,aggregate
2025-09-24T15:07:28.105185,11.3,72.5,3032999904,997625917,1632830,1705889,aggregate
2025-09-24T15:07:29.128616,7.1,72.5,3036329393,997702960,1633286,1706796,aggregate
2025-09-24T15:07:30.173017,9.1,72.5,3039131218,997786983,1633735,1707689,aggregate
2025-09-24T15:07:31.191832,8.9,72.4,3041810781,997855095,1634165,1708485,aggregate
2025-09-24T15:07:32.208268,10.7,72.5,3045087430,997935256,1634637,1709411,aggregate
2025-09-24T15:07:33.223387,6.2,72.5,3048545307,998013928,1635147,1710387,aggregate
2025-09-24T15:07:34.238297,11.0,72.6,3052034173,998127438,1635684,1711421,aggregate
2025-09-24T15:07:35.255901,10.0,72.4,3055785940,998217944,1636137,1712427,aggregate
2025-09-24T15:07:36.281734,9.0,72.4,3059070107,998297772,1636646,1713371,aggregate
2025-09-24T15:07:37.321620,6.8,72.4,3062393997,998379515,1637095,1714329,aggregate
2025-09-24T15:07:38.350496,9.2,72.5,3065849305,998463515,1637599,1715298,aggregate
2025-09-24T15:07:39.382565,9.1,72.3,3068989735,998542856,1638059,1716215,aggregate
2025-09-24T15:07:40.406937,10.0,72.3,3071909016,998632559,1638546,1717121,aggregate
2025-09-24T15:07:41.424045,11.2,72.2,3075060188,998717153,1639050,1718042,aggregate
2025-09-24T15:07:42.467685,14.4,72.3,3078390231,999121463,1639788,1719454,aggregate
2025-09-24T15:07:43.508019,43.7,72.8,3081695210,999322695,1640519,1720679,aggregate
2025-09-24T15:07:44.464393,18.1,72.7,3083769188,999440773,1640972,1721530,aggregate
