ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-21T14:13:36.821006,0.0,81.8,300689773,1214815725,495155,1031766,aggregate
2025-09-21T14:13:37.827419,26.3,82.2,300698251,1214844936,495192,1031812,aggregate
2025-09-21T14:13:38.863471,9.5,82.2,304308129,1214948745,497887,1033292,aggregate
2025-09-21T14:13:39.882741,6.1,82.2,307681736,1215037417,500372,1034932,aggregate
2025-09-21T14:13:40.886616,6.2,82.0,310677531,1215123931,502578,1036532,aggregate
2025-09-21T14:13:41.900943,8.7,81.5,313649086,1215214615,504775,1038192,aggregate
2025-09-21T14:13:42.917512,16.0,82.3,316735040,1215306082,507062,1039822,aggregate
2025-09-21T14:13:43.936161,8.0,82.0,319966986,1215403953,509462,1041443,aggregate
2025-09-21T14:13:44.950447,24.7,82.4,323021114,1215491919,511743,1043072,aggregate
2025-09-21T14:13:45.985009,6.9,82.1,326057149,1215582162,514036,1044652,aggregate
2025-09-21T14:13:47.005216,8.1,82.1,329480180,1215681530,516588,1046302,aggregate
2025-09-21T14:13:48.025573,4.1,82.2,332937737,1215779613,519143,1047952,aggregate
2025-09-21T14:13:49.043085,5.4,82.2,336410593,1215870172,521732,1049552,aggregate
2025-09-21T14:13:50.062748,3.2,82.3,339727461,1215961952,524220,1051152,aggregate
2025-09-21T14:13:51.084734,6.0,82.3,342597113,1216041872,526344,1052632,aggregate
2025-09-21T14:13:52.103134,5.9,82.1,345598115,1216144712,528638,1054242,aggregate
2025-09-21T14:13:53.119162,5.4,82.0,349380433,1216241728,531485,1055859,aggregate
2025-09-21T14:13:54.150955,10.0,82.1,352431741,1216381897,533807,1057852,aggregate
2025-09-21T14:13:55.153532,4.6,82.2,354372769,1216516169,535238,1059862,aggregate
2025-09-21T14:13:56.174734,5.1,82.2,356626591,1216623460,536918,1061552,aggregate
2025-09-21T14:13:57.191724,9.6,82.2,361912668,1216725671,540841,1063210,aggregate
2025-09-21T14:13:58.210201,5.5,82.2,365608990,1216821800,543574,1064882,aggregate
2025-09-21T14:13:59.230356,3.3,82.2,368253154,1216933885,545578,1066682,aggregate
2025-09-21T14:14:00.252016,7.1,82.3,371460998,1217087049,547987,1068932,aggregate
2025-09-21T14:14:01.271575,5.6,82.3,373976054,1217218249,549848,1070712,aggregate
2025-09-21T14:14:02.292861,3.7,82.2,378105546,1217316598,552912,1072412,aggregate
2025-09-21T14:14:03.310485,6.0,82.2,380768557,1217440490,554882,1074239,aggregate
2025-09-21T14:14:04.332302,4.6,82.2,383871862,1217534067,557168,1075912,aggregate
2025-09-21T14:14:05.353324,3.2,82.3,388034240,1217638469,560253,1077662,aggregate
2025-09-21T14:14:06.372704,4.7,82.3,390716523,1217723875,562229,1079236,aggregate
2025-09-21T14:14:07.391688,7.0,82.3,393329860,1217847320,564182,1081232,aggregate
2025-09-21T14:14:08.426674,5.4,82.3,395776117,1217960652,565985,1083122,aggregate
2025-09-21T14:14:09.454606,8.0,82.3,399794437,1218073664,568970,1084902,aggregate
2025-09-21T14:14:10.460656,6.0,82.3,403055918,1218170084,571387,1086522,aggregate
2025-09-21T14:14:11.481027,4.1,82.3,406819291,1218264583,574183,1088168,aggregate
2025-09-21T14:14:12.515286,6.2,82.1,409271428,1218351873,575996,1089751,aggregate
2025-09-21T14:14:13.520753,8.0,81.2,412792926,1218445145,578604,1091397,aggregate
2025-09-21T14:14:14.534941,15.3,82.5,416501559,1218533896,581348,1092915,aggregate
2025-09-21T14:14:15.558946,10.8,82.5,419542499,1218658015,583672,1094832,aggregate
2025-09-21T14:14:16.574874,13.0,82.6,422135548,1218795767,585636,1096842,aggregate
2025-09-21T14:14:17.602959,11.6,82.5,425564853,1218924759,588183,1098792,aggregate
2025-09-21T14:14:18.615508,4.0,82.5,427640947,1219002626,589715,1100112,aggregate
2025-09-21T14:14:19.633888,7.1,82.5,432228208,1219112591,593112,1101976,aggregate
2025-09-21T14:14:20.650513,5.1,82.6,435554142,1219212482,595585,1103642,aggregate
2025-09-21T14:14:21.665506,5.9,82.4,437772343,1219327296,597239,1105435,aggregate
2025-09-21T14:14:22.715600,8.9,82.4,440229905,1219476010,599082,1107482,aggregate
2025-09-21T14:14:23.728814,10.5,82.2,444285178,1219566288,602083,1108972,aggregate
2025-09-21T14:14:24.754953,9.8,82.1,446790765,1219646829,603932,1110362,aggregate
2025-09-21T14:14:25.770127,10.6,82.2,450866781,1219729243,606944,1111782,aggregate
2025-09-21T14:14:26.791160,4.2,82.1,453258722,1219815213,608719,1113322,aggregate
2025-09-21T14:14:27.809367,5.6,82.2,456855860,1219907600,611399,1114922,aggregate
2025-09-21T14:14:28.845393,6.9,82.2,460127122,1219999329,613851,1116422,aggregate
2025-09-21T14:14:29.891634,7.0,82.2,462697673,1220093712,615758,1118052,aggregate
2025-09-21T14:14:30.911963,3.4,82.2,464967687,1220193844,617462,1119742,aggregate
2025-09-21T14:14:31.932983,2.5,82.2,468858722,1220296249,620354,1121362,aggregate
2025-09-21T14:14:32.951718,7.6,82.2,472326560,1220385871,622921,1122972,aggregate
2025-09-21T14:14:33.985011,3.0,82.2,474348753,1220496875,624415,1124772,aggregate
2025-09-21T14:14:35.022952,3.6,82.2,475998645,1220640631,625651,1126962,aggregate
2025-09-21T14:14:36.058055,6.2,82.2,479401954,1220740202,628167,1128702,aggregate
2025-09-21T14:14:37.058775,4.8,82.1,483311520,1220832500,631060,1130302,aggregate
2025-09-21T14:14:38.109602,3.5,82.1,486292278,1220929623,633256,1131972,aggregate
2025-09-21T14:14:39.123329,6.5,82.2,490155778,1221028381,636140,1133641,aggregate
2025-09-21T14:14:40.132272,4.5,82.2,493416425,1221120377,638566,1135252,aggregate
2025-09-21T14:14:41.151832,6.1,82.2,496459581,1221206770,640882,1136812,aggregate
