ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T16:50:03.787533,0.0,79.6,1466060974,754114225,416188,907756,aggregate
2025-09-25T16:50:04.810252,30.2,79.9,1466074360,754153632,416245,907814,aggregate
2025-09-25T16:50:05.856163,6.3,79.9,1472547413,754278010,421043,909407,aggregate
2025-09-25T16:50:06.861639,5.6,79.9,1477533516,754379706,424736,911152,aggregate
2025-09-25T16:50:07.880086,6.6,79.9,1482870302,754492604,428675,913007,aggregate
2025-09-25T16:50:08.913335,4.8,79.9,1487967911,754571869,432434,914437,aggregate
2025-09-25T16:50:09.916606,5.7,79.9,1492679915,754649636,435919,915676,aggregate
2025-09-25T16:50:10.946872,6.6,78.9,1497891562,754720218,439756,916937,aggregate
2025-09-25T16:50:11.951488,14.5,80.1,1502631867,754791254,443247,918205,aggregate
2025-09-25T16:50:12.968549,14.5,80.0,1507112426,754863026,446547,919527,aggregate
2025-09-25T16:50:13.984485,11.6,80.9,1512479252,754938002,450516,920851,aggregate
2025-09-25T16:50:15.011544,18.8,80.1,1517912723,755015503,454542,922077,aggregate
2025-09-25T16:50:16.028788,8.2,80.0,1522771222,755084074,458126,923296,aggregate
2025-09-25T16:50:17.055031,4.0,80.0,1528228933,755161300,462135,924719,aggregate
2025-09-25T16:50:18.069994,6.9,80.2,1532107852,755223400,464997,925835,aggregate
2025-09-25T16:50:19.085291,5.8,80.1,1538118217,755302641,469452,927142,aggregate
2025-09-25T16:50:20.103871,7.1,80.0,1543420675,755378285,473376,928418,aggregate
2025-09-25T16:50:21.121780,6.2,79.9,1549043088,755448173,477512,929710,aggregate
2025-09-25T16:50:22.157654,6.0,79.9,1554353561,755520699,481439,930962,aggregate
2025-09-25T16:50:23.177074,7.2,80.0,1560201729,755598249,485777,932324,aggregate
2025-09-25T16:50:24.211145,6.9,80.1,1565850575,755672292,489979,933604,aggregate
2025-09-25T16:50:25.212938,4.3,80.1,1570328551,755738386,493310,934761,aggregate
2025-09-25T16:50:26.231515,5.4,80.2,1575941567,755803910,497445,935931,aggregate
2025-09-25T16:50:27.250997,6.7,80.1,1580772346,755882784,501021,937238,aggregate
2025-09-25T16:50:28.282683,5.3,80.1,1586071489,755957826,504948,938555,aggregate
2025-09-25T16:50:29.303063,7.3,80.1,1590861124,756040480,508521,939945,aggregate
2025-09-25T16:50:30.307528,5.9,79.9,1595929736,756122070,512355,941394,aggregate
2025-09-25T16:50:31.329751,6.8,80.0,1600838458,756183004,516002,942473,aggregate
2025-09-25T16:50:32.349613,5.3,80.0,1605582467,756286090,519506,943906,aggregate
2025-09-25T16:50:33.379799,8.3,80.2,1611492304,756366457,523896,945288,aggregate
2025-09-25T16:50:34.397633,11.1,79.8,1616617089,756455383,527798,946749,aggregate
2025-09-25T16:50:35.420557,4.7,79.8,1621617548,756547222,531554,948278,aggregate
2025-09-25T16:50:36.439115,7.3,79.8,1627094088,756625127,535652,949553,aggregate
2025-09-25T16:50:37.458494,6.3,79.8,1633468076,756704465,540359,950962,aggregate
2025-09-25T16:50:38.508407,5.7,79.9,1637675229,756791578,543503,952488,aggregate
2025-09-25T16:50:39.511715,4.7,79.9,1643007159,756875467,547463,953941,aggregate
2025-09-25T16:50:40.527629,8.6,79.8,1648269972,756954775,551378,955328,aggregate
2025-09-25T16:50:41.557392,9.9,79.7,1653195303,757028603,555036,956640,aggregate
2025-09-25T16:50:42.574291,6.2,79.7,1659068475,757103060,559370,957947,aggregate
2025-09-25T16:50:43.590927,15.8,79.8,1663973559,757185118,563003,959428,aggregate
2025-09-25T16:50:44.621580,17.0,80.4,1668657602,757262896,566465,960827,aggregate
2025-09-25T16:50:45.636435,10.7,80.0,1675013464,757341316,571168,962146,aggregate
2025-09-25T16:50:46.651175,22.9,80.1,1679431370,757434482,574446,963668,aggregate
2025-09-25T16:50:47.666739,9.0,79.9,1685025139,757526795,578579,965219,aggregate
2025-09-25T16:50:48.686687,4.6,79.9,1690516061,757611688,582645,966743,aggregate
2025-09-25T16:50:49.704000,6.0,80.0,1696078813,757698692,586754,968316,aggregate
2025-09-25T16:50:50.728707,4.3,79.9,1701931944,757782039,591084,969755,aggregate
2025-09-25T16:50:51.740366,5.0,79.9,1705791975,757854071,593940,971042,aggregate
2025-09-25T16:50:52.768434,4.4,79.8,1711593051,757934054,598234,972407,aggregate
2025-09-25T16:50:53.776728,7.1,80.0,1717000313,758022383,602254,973874,aggregate
2025-09-25T16:50:54.805876,7.1,80.0,1722644212,758122577,606421,975654,aggregate
2025-09-25T16:50:55.824528,5.6,80.0,1728632938,758217339,610855,977229,aggregate
2025-09-25T16:50:56.843318,5.1,79.9,1734370067,758310653,615098,978805,aggregate
2025-09-25T16:50:57.869266,4.2,80.0,1739099421,758404087,618603,980466,aggregate
2025-09-25T16:50:58.873500,3.9,80.0,1745018048,758492674,622993,982012,aggregate
2025-09-25T16:50:59.893376,7.6,80.0,1751902877,758579000,628096,983505,aggregate
2025-09-25T16:51:00.912739,5.1,80.0,1756753648,758670177,631679,985169,aggregate
2025-09-25T16:51:01.931859,6.6,79.9,1762683550,758760127,636050,986716,aggregate
2025-09-25T16:51:02.967480,4.8,79.9,1768781436,758847862,640574,988238,aggregate
2025-09-25T16:51:03.970510,5.7,80.0,1774597178,758940054,644925,989874,aggregate
2025-09-25T16:51:04.988515,5.1,80.0,1780707391,759031725,649456,991425,aggregate
2025-09-25T16:51:06.008292,5.0,80.0,1785034621,759118783,652674,992853,aggregate
2025-09-25T16:51:07.030529,3.8,80.0,1790197964,759196819,656509,994202,aggregate
2025-09-25T16:51:08.066582,4.3,80.0,1796096949,759281552,660909,995654,aggregate
2025-09-25T16:51:09.072216,6.9,80.0,1801467887,759367237,664913,997153,aggregate
2025-09-25T16:51:10.091757,3.7,80.0,1806783861,759462973,668856,998677,aggregate
2025-09-25T16:51:11.113205,5.7,79.9,1812482644,759547919,673058,1000216,aggregate
2025-09-25T16:51:12.131700,7.3,79.8,1816638966,759630557,676133,1001710,aggregate
2025-09-25T16:51:13.150814,7.3,79.9,1822335903,759721750,680341,1003275,aggregate
2025-09-25T16:51:14.183174,5.5,79.8,1827801512,759805529,684382,1004782,aggregate
2025-09-25T16:51:15.204724,6.2,78.9,1833576244,759887356,688648,1006205,aggregate
2025-09-25T16:51:16.224573,5.0,79.3,1837243714,759955568,691387,1007268,aggregate
2025-09-25T16:51:17.245116,14.8,80.3,1840451019,760027153,693755,1008448,aggregate
2025-09-25T16:51:18.272827,10.8,80.2,1844314870,760104350,696654,1009518,aggregate
2025-09-25T16:51:19.276668,18.3,80.2,1847426470,760166065,698946,1010590,aggregate
2025-09-25T16:51:20.294428,8.9,80.0,1851905865,760229438,702261,1011647,aggregate
2025-09-25T16:51:21.326581,4.1,80.0,1857066182,760304725,706075,1012985,aggregate
2025-09-25T16:51:22.328967,4.8,80.0,1861889785,760391923,709619,1014584,aggregate
2025-09-25T16:51:23.349227,6.6,80.1,1867758626,760473468,713960,1015969,aggregate
2025-09-25T16:51:24.384624,3.9,80.1,1873340552,760561900,718091,1017570,aggregate
2025-09-25T16:51:25.388725,7.1,80.0,1878977685,760651641,722261,1019162,aggregate
2025-09-25T16:51:26.411583,6.2,80.0,1885770135,760740195,727306,1020678,aggregate
2025-09-25T16:51:27.429719,3.4,80.0,1891365168,760833771,731436,1022281,aggregate
2025-09-25T16:51:28.449352,6.6,80.0,1896184511,760918274,734988,1023747,aggregate
2025-09-25T16:51:29.470306,5.8,80.0,1901993188,761005431,739281,1025277,aggregate
2025-09-25T16:51:30.490224,3.5,79.8,1906881084,761089129,742901,1026733,aggregate
2025-09-25T16:51:31.507525,10.0,79.8,1912377950,761173053,746955,1028219,aggregate
2025-09-25T16:51:32.531921,4.3,79.8,1917878865,761275854,751019,1029670,aggregate
2025-09-25T16:51:33.547446,7.0,79.8,1923368177,761371573,755097,1031308,aggregate
2025-09-25T16:51:34.584065,6.3,79.9,1929422558,761472834,759607,1032965,aggregate
2025-09-25T16:51:35.602330,6.6,79.9,1935502918,761576130,764129,1034681,aggregate
2025-09-25T16:51:36.618393,14.0,80.1,1942283356,761666476,769163,1036275,aggregate
2025-09-25T16:51:37.661025,36.8,80.1,1947364896,761759467,772930,1037953,aggregate
