ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-24T14:52:32.348711,0.0,76.4,1738302097,882232087,802496,1221816,aggregate
2025-09-24T14:52:33.364677,29.3,76.8,1738330642,882280238,802579,1221893,aggregate
2025-09-24T14:52:34.381774,9.1,76.7,1742803816,882429409,805893,1223046,aggregate
2025-09-24T14:52:35.398698,4.8,76.7,1746342051,882552915,808458,1224593,aggregate
2025-09-24T14:52:36.411640,5.7,76.7,1750095251,882687292,811168,1226392,aggregate
2025-09-24T14:52:37.427122,9.7,76.7,1753808627,882815978,813853,1228074,aggregate
2025-09-24T14:52:38.441748,5.4,76.8,1757224107,882930444,816336,1229573,aggregate
2025-09-24T14:52:39.459088,7.1,76.9,1760926785,883048721,819023,1231028,aggregate
2025-09-24T14:52:40.474723,6.5,77.0,1764383400,883149795,821534,1232322,aggregate
2025-09-24T14:52:41.485510,5.1,77.0,1767986998,883239250,824160,1233494,aggregate
2025-09-24T14:52:42.502697,6.2,77.0,1771958146,883336963,827043,1234761,aggregate
2025-09-24T14:52:43.522281,7.8,77.0,1775589226,883419408,829667,1235845,aggregate
2025-09-24T14:52:44.544030,5.4,76.9,1779289160,883508451,832338,1237008,aggregate
2025-09-24T14:52:45.560473,7.9,76.9,1782806293,883591488,834875,1238117,aggregate
2025-09-24T14:52:46.585997,13.6,76.9,1786536808,883678411,837559,1239280,aggregate
2025-09-24T14:52:47.601953,8.9,77.0,1790170510,883770228,840179,1240474,aggregate
2025-09-24T14:52:48.619484,6.6,77.0,1793534216,883858196,842616,1241553,aggregate
2025-09-24T14:52:49.633478,9.5,76.9,1796856233,883945962,845041,1242637,aggregate
2025-09-24T14:52:50.649199,4.7,77.0,1800109311,884029125,847400,1243725,aggregate
2025-09-24T14:52:51.663343,9.9,76.9,1803812555,884115660,850077,1244798,aggregate
2025-09-24T14:52:52.680597,6.7,76.9,1807397364,884197620,852666,1245869,aggregate
2025-09-24T14:52:53.696469,3.9,76.8,1811101691,884283937,855346,1246989,aggregate
2025-09-24T14:52:54.712488,4.4,76.8,1814547038,884369249,857833,1248118,aggregate
2025-09-24T14:52:55.724206,5.5,76.8,1818166698,884452499,860455,1249197,aggregate
2025-09-24T14:52:56.743860,4.3,76.8,1821856850,884535936,863125,1250298,aggregate
2025-09-24T14:52:57.759623,8.1,76.9,1825669001,884620155,865873,1251412,aggregate
2025-09-24T14:52:58.782904,6.1,76.9,1829363328,884715688,868558,1252574,aggregate
2025-09-24T14:52:59.799977,6.8,76.9,1833259933,884803937,871375,1253688,aggregate
2025-09-24T14:53:00.823622,5.3,76.9,1837167457,884888072,874191,1254821,aggregate
2025-09-24T14:53:01.838996,5.0,76.9,1839945437,884955162,876199,1255689,aggregate
2025-09-24T14:53:02.861016,16.9,76.9,1843783863,885042957,878967,1256839,aggregate
2025-09-24T14:53:03.887747,10.3,76.8,1847375132,885127375,881566,1257927,aggregate
2025-09-24T14:53:04.903402,9.9,76.8,1850797079,885208517,884034,1259000,aggregate
