ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T16:40:33.963287,0.0,79.1,254458880,67664811,42586,114731,aggregate
2025-09-25T16:40:34.993281,28.3,79.4,254656743,67720170,42658,114864,aggregate
2025-09-25T16:40:36.009030,5.9,79.3,261373044,67824201,42963,116553,aggregate
2025-09-25T16:40:37.041021,4.6,79.3,266541400,67919473,43523,118193,aggregate
2025-09-25T16:40:38.071253,2.4,79.4,270897767,68052911,44254,120233,aggregate
2025-09-25T16:40:39.087151,4.3,79.4,276301108,68174962,44543,122322,aggregate
2025-09-25T16:40:40.102916,4.0,79.4,280739884,68261233,44762,123836,aggregate
2025-09-25T16:40:41.141275,4.2,79.4,286737070,68358405,45006,125559,aggregate
2025-09-25T16:40:42.149336,9.4,79.4,292048512,68429576,45266,126831,aggregate
2025-09-25T16:40:43.180526,10.6,79.5,296731894,68496240,45494,128037,aggregate
2025-09-25T16:40:44.212080,7.2,79.5,300872683,68566083,45742,129287,aggregate
2025-09-25T16:40:45.243804,5.9,79.5,306142728,68655727,46118,130677,aggregate
2025-09-25T16:40:46.275946,8.8,79.5,310834138,68737899,46553,131931,aggregate
2025-09-25T16:40:47.302663,3.2,79.5,315602821,68812005,46953,133190,aggregate
2025-09-25T16:40:48.322286,5.1,79.4,320013371,68891284,47331,134335,aggregate
2025-09-25T16:40:49.338164,5.4,79.3,324142119,68961018,47634,135514,aggregate
2025-09-25T16:40:50.365593,6.9,79.3,328976839,69025886,47941,136673,aggregate
2025-09-25T16:40:51.382389,3.2,79.2,333138813,69096133,48320,137817,aggregate
2025-09-25T16:40:52.393549,5.6,79.3,337609973,69162894,48689,139013,aggregate
2025-09-25T16:40:53.398635,6.3,79.3,342176098,69235249,49039,140311,aggregate
2025-09-25T16:40:54.416147,3.3,79.3,347295829,69317243,49304,141608,aggregate
2025-09-25T16:40:55.444295,4.9,79.1,351204548,69380917,49540,142704,aggregate
2025-09-25T16:40:56.461859,4.9,79.1,356292542,69450124,49735,143917,aggregate
2025-09-25T16:40:57.487568,8.8,79.1,361573707,69522651,49939,145212,aggregate
2025-09-25T16:40:58.516807,14.5,79.8,366851756,69610473,50239,146570,aggregate
