file,blob,size_bytes,duration_s,retries,status,error
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (101).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (101).jpg,4606379,4.313466200022958,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (10).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (10).jpg,1613051,4.339146299986169,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (102).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (102).jpg,1269042,4.6813175000716,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (104).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (104).jpg,2204763,5.051824699970894,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (105).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (105).jpg,1817618,5.7176560999359936,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (107).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (107).jpg,2162364,1.7620900999754667,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (103).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (103).jpg,2484270,6.200937499990687,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (106).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (106).jpg,1469994,2.0410950999939814,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (1).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (1).jpg,2474312,8.088550899992697,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (112).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (112).jpg,4358661,3.8042344000423327,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (108).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (108).jpg,3077361,5.783962300047278,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (100).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (100).jpg,5111458,11.276967099984176,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (110).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (110).jpg,3749178,5.40637679991778,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (115).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (115).jpg,1292980,1.990299699944444,0,ok,
