ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-25T20:29:34.188535,0.0,80.9,331569049,262503611,163319,333774,aggregate
2025-09-25T20:29:35.213147,23.8,81.2,331578987,262537249,163359,333829,aggregate
2025-09-25T20:29:36.258193,6.3,81.1,334392660,262657989,163779,334624,aggregate
2025-09-25T20:29:37.275439,6.5,81.2,337250640,262738463,164410,335629,aggregate
2025-09-25T20:29:38.305133,4.5,81.2,339494922,262825942,164928,336684,aggregate
2025-09-25T20:29:39.305288,5.0,81.2,341657645,262909746,165356,337807,aggregate
2025-09-25T20:29:40.337099,2.4,81.2,343561225,262990608,165869,338882,aggregate
2025-09-25T20:29:41.365251,4.7,81.2,345980419,263084537,166346,340116,aggregate
2025-09-25T20:29:42.367819,5.5,81.2,348255728,263170900,166799,341234,aggregate
2025-09-25T20:29:43.384137,4.3,81.2,350633053,263249604,167190,342264,aggregate
2025-09-25T20:29:44.414747,4.6,81.2,353259117,263323750,167597,343233,aggregate
2025-09-25T20:29:45.430065,5.5,81.2,355606695,263387226,167973,344058,aggregate
2025-09-25T20:29:46.446573,6.6,81.2,358439403,263463354,168409,345041,aggregate
2025-09-25T20:29:47.461964,3.7,81.2,361051158,263533855,168898,345910,aggregate
2025-09-25T20:29:49.980365,5.2,81.1,367303970,263701702,169912,348008,aggregate
2025-09-25T20:29:51.008564,11.1,81.5,369596958,263762514,170384,348808,aggregate
2025-09-25T20:29:52.024057,14.0,81.3,371952379,263824936,170766,349621,aggregate
2025-09-25T20:29:53.044449,9.2,82.5,373950000,263881127,171154,350357,aggregate
2025-09-25T20:29:54.055353,15.2,81.1,376635805,263952397,171595,351295,aggregate
2025-09-25T20:29:55.071964,8.2,81.3,379178364,264021662,172056,352179,aggregate
2025-09-25T20:29:56.086624,3.1,81.2,381693420,264084314,172522,353015,aggregate
2025-09-25T20:29:57.118009,5.6,81.2,383906643,264141154,172970,353769,aggregate
2025-09-25T20:29:58.133732,6.5,81.3,386570853,264220007,173460,354690,aggregate
2025-09-25T20:29:59.150341,5.1,81.3,389366762,264290845,173892,355577,aggregate
2025-09-25T20:30:00.180051,4.5,81.3,391761495,264350971,174333,356380,aggregate
2025-09-25T20:30:01.180274,3.8,81.2,393928244,264409376,174744,357130,aggregate
2025-09-25T20:30:02.196618,3.6,81.3,396268247,264463272,175187,357858,aggregate
2025-09-25T20:30:03.223178,3.2,81.2,398844912,264528252,175667,358711,aggregate
2025-09-25T20:30:04.242281,4.8,81.3,401297461,264591097,176118,359527,aggregate
2025-09-25T20:30:05.274140,4.2,81.3,403825484,264656432,176611,360317,aggregate
2025-09-25T20:30:06.305555,6.0,81.2,406213340,264717066,177053,361099,aggregate
2025-09-25T20:30:07.325712,5.2,81.2,408772524,264778462,177546,361923,aggregate
2025-09-25T20:30:08.367169,7.1,81.2,411359245,264851646,177998,362767,aggregate
2025-09-25T20:30:09.383609,4.6,81.2,413752513,264913865,178383,363543,aggregate
2025-09-25T20:30:10.404757,5.1,81.2,416230211,264974053,178792,364350,aggregate
2025-09-25T20:30:13.865070,5.4,81.2,424171017,265178250,180282,367040,aggregate
2025-09-25T20:30:14.881431,5.0,81.1,426278919,265236558,180796,367804,aggregate
2025-09-25T20:30:15.883985,6.0,81.1,428438234,265296990,181261,368587,aggregate
2025-09-25T20:30:16.919140,7.0,81.1,430727952,265362017,181673,369388,aggregate
2025-09-25T20:30:17.945586,7.7,81.2,432825058,265418093,182087,370100,aggregate
2025-09-25T20:30:18.946898,4.2,81.1,434601558,265473595,182459,370749,aggregate
2025-09-25T20:30:19.976688,3.7,81.1,436773420,265532146,182855,371490,aggregate
2025-09-25T20:30:20.992905,6.5,81.0,439012788,265587219,183276,372223,aggregate
2025-09-25T20:30:22.758697,9.9,81.0,443148655,265701420,183989,373582,aggregate
2025-09-25T20:30:23.789404,8.2,80.9,445474215,265762307,184410,374343,aggregate
2025-09-25T20:30:24.805132,5.5,80.9,447801288,265817991,184808,375056,aggregate
2025-09-25T20:30:25.853971,6.6,80.8,449917500,265869605,185184,375725,aggregate
2025-09-25T20:30:26.868292,8.2,80.9,452112459,265925386,185563,376458,aggregate
2025-09-25T20:30:27.873434,8.0,80.9,454562105,265988756,186051,377265,aggregate
2025-09-25T20:30:32.581324,5.6,80.6,464015795,266272892,187727,380612,aggregate
2025-09-25T20:30:33.596491,5.9,80.6,466347426,266319166,187960,381236,aggregate
2025-09-25T20:30:34.278398,4.4,80.6,467541445,266346811,188071,381589,aggregate
