ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-26T14:29:25.711481,0.0,81.2,1828302680,718373380,502348,1196843,aggregate
2025-09-26T14:29:26.730716,14.8,81.6,1830985004,718524674,502788,1197685,aggregate
2025-09-26T14:29:27.758252,7.6,81.4,1834412522,718644665,503490,1199219,aggregate
2025-09-26T14:29:28.786592,10.0,81.4,1837732718,718785853,504059,1200990,aggregate
2025-09-26T14:29:29.790811,5.1,81.4,1840860435,718908617,504647,1202628,aggregate
2025-09-26T14:29:30.823043,4.1,81.4,1843993799,719031323,505134,1204255,aggregate
2025-09-26T14:29:31.839954,5.2,81.4,1846819911,719134403,505725,1205593,aggregate
2025-09-26T14:29:32.854637,5.6,81.4,1849582580,719228184,506169,1206826,aggregate
2025-09-26T14:29:33.870594,9.4,81.6,1852435832,719324718,506621,1208034,aggregate
2025-09-26T14:29:34.904889,8.2,81.5,1855139876,719403062,507070,1209086,aggregate
2025-09-26T14:29:35.922892,5.5,81.5,1857932676,719483504,507537,1210161,aggregate
2025-09-26T14:29:36.939908,6.0,81.5,1860868431,719565918,507978,1211242,aggregate
2025-09-26T14:29:37.971219,7.1,81.6,1863762615,719648215,508433,1212304,aggregate
2025-09-26T14:29:39.003844,7.0,81.5,1866574240,719738199,508906,1213415,aggregate
2025-09-26T14:29:40.021435,5.1,81.5,1869159388,719822921,509374,1214504,aggregate
2025-09-26T14:29:41.054156,4.9,81.5,1871929525,719908349,509895,1215648,aggregate
2025-09-26T14:29:42.071512,6.9,81.4,1874310564,719988677,510383,1216697,aggregate
2025-09-26T14:29:43.089213,4.7,81.4,1877047282,720074789,510909,1217711,aggregate
2025-09-26T14:29:44.136246,6.2,80.8,1879787100,720151555,511447,1218685,aggregate
2025-09-26T14:29:45.142759,6.9,81.0,1882480696,720221691,511876,1219608,aggregate
2025-09-26T14:29:46.185449,4.5,80.8,1885193026,720297916,512393,1220607,aggregate
2025-09-26T14:29:47.209288,7.7,80.8,1888104969,720371383,512954,1221579,aggregate
2025-09-26T14:29:48.229801,5.7,80.8,1890657645,720438020,513474,1222466,aggregate
2025-09-26T14:29:49.264446,7.2,80.7,1893244023,720511471,513973,1223344,aggregate
2025-09-26T14:29:50.296140,4.8,80.6,1896114404,720586497,514462,1224330,aggregate
2025-09-26T14:29:51.331931,4.2,80.6,1898662259,720659455,514936,1225246,aggregate
2025-09-26T14:29:52.349887,5.4,80.6,1901307975,720728683,515417,1226180,aggregate
2025-09-26T14:29:53.361573,7.5,80.6,1903965068,720799686,515856,1227081,aggregate
2025-09-26T14:29:54.366836,9.0,80.5,1906990875,720877645,516356,1228111,aggregate
2025-09-26T14:29:55.398506,10.2,80.4,1909658862,720951034,516828,1229064,aggregate
2025-09-26T14:29:56.415673,8.5,79.5,1912234946,721020314,517350,1229988,aggregate
2025-09-26T14:29:57.446687,16.3,80.4,1914880096,721088520,517900,1230909,aggregate
2025-09-26T14:29:58.469707,19.6,80.9,1917648427,721174305,518502,1231939,aggregate
2025-09-26T14:29:59.496334,12.8,80.7,1920476797,721248695,519059,1232903,aggregate
2025-09-26T14:30:00.512228,18.1,80.8,1923122074,721320034,519505,1233822,aggregate
2025-09-26T14:30:01.546864,12.9,80.7,1925361703,721378050,520007,1234590,aggregate
2025-09-26T14:30:02.553330,4.9,80.7,1927642217,721437236,520538,1235383,aggregate
2025-09-26T14:30:03.578271,3.4,80.7,1929869108,721496362,521031,1236141,aggregate
2025-09-26T14:30:04.587840,8.0,80.6,1932043361,721552974,521482,1236893,aggregate
2025-09-26T14:30:05.621177,5.6,80.6,1934540151,721620377,522000,1237761,aggregate
2025-09-26T14:30:06.637318,13.9,80.6,1936814138,721684914,522493,1238592,aggregate
2025-09-26T14:30:07.652538,9.0,80.5,1938973621,721742171,522945,1239355,aggregate
2025-09-26T14:30:08.691491,4.8,80.6,1941102397,721807370,523437,1240133,aggregate
2025-09-26T14:30:09.705291,4.7,80.5,1944542069,721897127,523927,1241274,aggregate
2025-09-26T14:30:10.723326,10.3,80.6,1948529017,721995605,524506,1242571,aggregate
2025-09-26T14:30:11.757480,7.9,80.5,1952556785,722092403,525077,1243801,aggregate
2025-09-26T14:30:12.772911,6.9,80.4,1956000286,722186184,525625,1245002,aggregate
2025-09-26T14:30:13.803382,4.2,80.2,1959289777,722277138,526118,1246206,aggregate
2025-09-26T14:30:14.810261,6.1,80.1,1962526920,722363892,526488,1247357,aggregate
2025-09-26T14:30:15.527849,4.1,80.1,1963939674,722409829,526644,1247932,aggregate
