ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-05T18:07:59.204846,0.0,76.6,380944782,771866819,175904,1614124,aggregate
2025-09-05T18:08:00.224354,39.2,76.1,380944782,771870698,175904,1614137,aggregate
2025-09-05T18:08:01.249044,12.9,76.3,387716319,772166404,176298,1618147,aggregate
2025-09-05T18:08:02.271270,9.7,75.3,395928657,772431806,176627,1622750,aggregate
2025-09-05T18:08:03.297108,16.5,76.7,404061232,772677532,176921,1627201,aggregate
2025-09-05T18:08:04.315323,19.1,76.8,412282357,772849266,177159,1630281,aggregate
2025-09-05T18:08:05.340576,14.4,77.3,420242342,773057741,177423,1633564,aggregate
2025-09-05T18:08:06.370003,17.0,76.9,428419812,773247717,177693,1636754,aggregate
2025-09-05T18:08:07.390310,8.8,76.9,436616846,773418255,177928,1639873,aggregate
2025-09-05T18:08:08.417377,9.9,76.8,444319188,773615499,178246,1643263,aggregate
2025-09-05T18:08:09.435930,13.3,76.7,451783199,773776323,178504,1646178,aggregate
2025-09-05T18:08:10.468048,12.7,76.8,459962990,773961280,178830,1649353,aggregate
2025-09-05T18:08:11.482418,8.9,76.9,467858327,774138472,179101,1652414,aggregate
2025-09-05T18:08:12.506991,13.3,76.9,475639500,774307525,179359,1655323,aggregate
2025-09-05T18:08:13.523026,9.3,76.9,483557339,774472236,179599,1658231,aggregate
2025-09-05T18:08:14.534935,12.5,76.9,491534046,774639311,179862,1661120,aggregate
2025-09-05T18:08:15.572958,7.0,76.8,499878218,774819886,180173,1664272,aggregate
2025-09-05T18:08:16.596237,14.5,76.9,507888598,774981615,180432,1667140,aggregate
2025-09-05T18:08:17.618506,7.9,76.8,516117537,775163820,180733,1670179,aggregate
2025-09-05T18:08:18.641432,12.2,76.7,523907336,775324650,181065,1673031,aggregate
2025-09-05T18:08:19.662202,11.4,76.9,532305880,775495453,181411,1676064,aggregate
2025-09-05T18:08:20.686819,10.2,76.9,540317968,775661649,181680,1678965,aggregate
2025-09-05T18:08:21.712739,6.1,76.9,548781449,775836111,181950,1682044,aggregate
2025-09-05T18:08:22.751698,12.2,76.8,557019055,776006957,182251,1685025,aggregate
2025-09-05T18:08:23.785971,10.1,76.9,564960767,776171130,182515,1687884,aggregate
2025-09-05T18:08:24.812080,6.7,76.9,572714397,776345021,182741,1690767,aggregate
2025-09-05T18:08:25.834263,10.1,76.9,580443619,776503304,183000,1693497,aggregate
2025-09-05T18:08:26.862029,9.4,76.9,588508363,776684927,183254,1696524,aggregate
2025-09-05T18:08:27.901447,8.2,76.9,595769702,776845389,183483,1699140,aggregate
2025-09-05T18:08:28.941982,15.1,76.9,603772606,777022733,183744,1702088,aggregate
2025-09-05T18:08:29.963875,5.7,76.8,611725236,777192931,183995,1704929,aggregate
2025-09-05T18:08:31.008161,9.7,76.9,619622109,777359569,184274,1707715,aggregate
2025-09-05T18:08:32.034978,12.5,76.9,627873913,777536911,184602,1710763,aggregate
2025-09-05T18:08:33.062102,5.9,76.8,635425819,777698896,184892,1713540,aggregate
