ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-24T15:07:54.632310,0.0,72.5,3083839821,999526165,1641207,1721774,aggregate
2025-09-24T15:07:55.658068,24.3,72.6,3083851911,999557221,1641263,1721834,aggregate
2025-09-24T15:07:56.669668,9.4,72.6,3087665741,999690195,1641752,1722900,aggregate
2025-09-24T15:07:57.683803,12.3,72.7,3091027552,999804765,1642432,1724354,aggregate
2025-09-24T15:07:58.703372,9.4,72.7,3094451222,999927870,1642993,1725985,aggregate
2025-09-24T15:07:59.718704,9.6,72.7,3097629054,1000046312,1643544,1727445,aggregate
2025-09-24T15:08:00.750535,9.4,72.8,3100658533,1000138410,1644043,1728624,aggregate
2025-09-24T15:08:01.784983,9.6,72.8,3104057555,1000233039,1644611,1729894,aggregate
2025-09-24T15:08:02.812896,11.8,72.9,3107236865,1000330716,1645045,1731187,aggregate
2025-09-24T15:08:03.839023,7.7,72.9,3110604009,1000427690,1645544,1732448,aggregate
2025-09-24T15:08:04.864713,8.3,72.7,3113179030,1000514172,1646047,1733582,aggregate
2025-09-24T15:08:05.881732,8.4,72.8,3115468506,1000592353,1646454,1734596,aggregate
2025-09-24T15:08:06.911154,9.4,72.8,3118008275,1000667754,1646868,1735568,aggregate
2025-09-24T15:08:07.929283,9.1,72.8,3120487005,1000742063,1647206,1736572,aggregate
2025-09-24T15:08:08.944392,9.7,72.2,3123758847,1000823406,1647634,1737665,aggregate
2025-09-24T15:08:09.958181,18.6,73.3,3126503701,1000907542,1647984,1738698,aggregate
2025-09-24T15:08:10.988391,13.6,73.4,3129295952,1000977350,1648368,1739613,aggregate
2025-09-24T15:08:12.004925,18.5,73.5,3131786695,1001048123,1648731,1740538,aggregate
2025-09-24T15:08:13.024547,13.7,73.1,3134318516,1001112400,1649049,1741375,aggregate
2025-09-24T15:08:14.055520,8.7,73.0,3137165859,1001188340,1649479,1742336,aggregate
2025-09-24T15:08:15.077225,12.8,73.0,3139689325,1001415338,1650093,1743520,aggregate
2025-09-24T15:08:16.094730,13.3,73.0,3142753343,1001715174,1650828,1744880,aggregate
2025-09-24T15:08:17.111092,35.3,73.3,3145738602,1001920563,1651777,1746294,aggregate
2025-09-24T15:08:18.131183,17.7,73.5,3148393293,1002195728,1652557,1747586,aggregate
2025-09-24T15:08:19.152569,17.8,73.4,3151326999,1002307984,1653227,1748713,aggregate
2025-09-24T15:08:20.166200,8.9,73.4,3154032279,1002394880,1653890,1749747,aggregate
2025-09-24T15:08:21.196874,7.9,73.3,3156833349,1002473309,1654460,1750759,aggregate
2025-09-24T15:08:22.214365,10.1,73.3,3159613624,1002606456,1655143,1751928,aggregate
2025-09-24T15:08:23.248638,8.6,73.3,3162780652,1002704201,1655674,1752993,aggregate
2025-09-24T15:08:24.270317,9.4,73.2,3165791776,1002788826,1656302,1754055,aggregate
2025-09-24T15:08:25.296440,9.7,73.1,3168675775,1002861882,1656892,1755022,aggregate
2025-09-24T15:08:26.311154,11.8,73.1,3171845795,1002941330,1657541,1756095,aggregate
2025-09-24T15:08:27.331338,11.2,73.1,3175083093,1003026815,1658219,1757230,aggregate
