file,blob,size_bytes,duration_s,retries,status,error
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (102).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (102).jpg,1269042,3.5581031999900006,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (103).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (103).jpg,2484270,4.5216504000127316,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (1).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (1).jpg,2474312,5.955677399993874,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (104).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (104).jpg,2204763,6.076000400003977,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (106).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (106).jpg,1469994,3.719456300023012,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (100).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (100).jpg,5111458,8.615057799965143,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (107).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (107).jpg,2162364,4.606452200037893,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (10).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (10).jpg,1613051,10.366104499960784,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (105).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (105).jpg,1817618,11.733574599958956,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (110).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (110).jpg,3749178,7.630098399997223,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (112).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (112).jpg,4358661,6.40994809998665,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (108).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (108).jpg,3077361,11.87675890000537,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (115).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (115).jpg,1292980,1.892309499962721,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (111).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (111).jpg,2994841,9.778059200034477,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (117).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (117).jpg,2543701,3.4244373999536037,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (113).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (113).jpg,2759427,11.144904900051188,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (119).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (119).jpg,2399209,3.7700803999905474,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (114).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (114).jpg,3384916,9.621486300020479,0,ok,
TEST DATA\images_4k\4k-3840-x-2160-wallpapers-themefoxx (109).jpg,images_4k//4k-3840-x-2160-wallpapers-themefoxx (109).jpg,4829348,21.536946600012016,0,ok,
