file,blob,size_bytes,duration_s,retries,status,error
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia - copia.jpg,106400,1.5234610000625253,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia.jpg,106400,1.6583926000166684,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1).jpg,106400,2.200063200085424,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10).jpg,312471,2.330824200063944,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (100) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (100) - copia.jpg,168348,2.3319540000520647,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10) - copia.jpg,312471,2.350407199934125,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10) - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10) - copia - copia.jpg,312471,2.3560530999675393,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia.jpg,106400,2.4973093000007793,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (100).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (100).jpg,168348,1.0688388999551535,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (101) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (101) - copia.jpg,116947,0.9750533000333235,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (102) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (102) - copia.jpg,211898,0.38061620004009455,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (101).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (101).jpg,116947,0.5877474000444636,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (106) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (106) - copia.jpg,230577,0.2905953999143094,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (106).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (106).jpg,230577,0.35450460005085915,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (107) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (107) - copia.jpg,78496,0.2923011000966653,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (103) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (103) - copia.jpg,464842,1.4594325000653043,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (107).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (107).jpg,78496,0.19804789999034256,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (102).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (102).jpg,211898,2.9085735001135617,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (109) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (109) - copia.jpg,140258,0.2716208999045193,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (104).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (104).jpg,164880,3.193195200059563,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (105).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (105).jpg,261402,3.1170968000078574,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (105) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (105) - copia.jpg,261402,3.253145399969071,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (103).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (103).jpg,464842,3.590820499928668,0,ok,
