file,blob,size_bytes,duration_s,retries,status,error
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia.jpg,106400,1.3879996000323445,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia.jpg,106400,1.3926670000655577,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1).jpg,106400,1.4752963000210002,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (1) - copia - copia - copia.jpg,106400,1.5163954000454396,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10).jpg,312471,1.5726860999129713,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (100) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (100) - copia.jpg,168348,1.6348238999489695,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (101) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (101) - copia.jpg,116947,0.2506751000182703,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (100).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (100).jpg,168348,0.30599469994194806,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (101).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (101).jpg,116947,0.3216101999860257,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (102).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (102).jpg,211898,0.2889171000570059,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (102) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (102) - copia.jpg,211898,0.422573099960573,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (105) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (105) - copia.jpg,261402,0.45408519997727126,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10) - copia.jpg,312471,2.3397781000239775,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (10) - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (10) - copia - copia.jpg,312471,2.3501838999800384,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (103) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (103) - copia.jpg,464842,0.8031111001037061,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (105).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (105).jpg,261402,0.5135501000331715,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (104) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (104) - copia.jpg,164880,0.7788286000723019,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (103).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (103).jpg,464842,0.9325110999634489,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (106) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (106) - copia.jpg,230577,0.26977929996792227,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (107).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (107).jpg,78496,0.19219090009573847,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (107) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (107) - copia.jpg,78496,0.36922580003738403,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (109) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (109) - copia.jpg,140258,0.3419208999257535,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (108) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (108) - copia.jpg,297717,0.5610465999925509,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (11) - copia - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (11) - copia - copia.jpg,185956,0.3866052000084892,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (104).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (104).jpg,164880,1.228878700057976,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (109).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (109).jpg,140258,0.4795756000094116,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (108).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (108).jpg,297717,0.6144902999512851,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (11) - copia.jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (11) - copia.jpg,185956,0.3905446999706328,0,ok,
TEST DATA\images_720p_samesize\4k-3840-x-2160-wallpapers-themefoxx (11).jpg,images_720p//4k-3840-x-2160-wallpapers-themefoxx (11).jpg,185956,0.24722150003071874,0,ok,
