ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-26T14:30:48.750455,0.0,80.4,1964020421,722530602,526943,1248223,aggregate
2025-09-26T14:30:49.760870,34.3,80.5,1964024670,722531430,526964,1248232,aggregate
2025-09-26T14:30:50.776237,5.1,80.6,1967358260,722707501,527269,1249158,aggregate
2025-09-26T14:30:51.796481,4.9,80.6,1970922667,722855453,527642,1250767,aggregate
2025-09-26T14:30:52.816249,7.4,80.6,1975481537,723054308,528031,1252981,aggregate
2025-09-26T14:30:53.833295,7.2,80.5,1979294508,723213168,528473,1254709,aggregate
2025-09-26T14:30:54.868523,5.2,80.4,1983345213,723365501,528859,1256329,aggregate
2025-09-26T14:30:55.883767,8.0,80.3,1987840895,723505723,529200,1257802,aggregate
2025-09-26T14:30:56.900528,5.4,79.5,1991579096,723626754,529549,1259015,aggregate
2025-09-26T14:30:57.920673,15.9,80.7,1996116003,723752812,529957,1260290,aggregate
2025-09-26T14:30:58.933910,16.5,80.7,2000249547,723893573,530337,1261606,aggregate
2025-09-26T14:30:59.949439,15.6,80.9,2004209736,724011461,530703,1262817,aggregate
2025-09-26T14:31:00.965052,17.9,80.9,2008368337,724141076,531011,1264103,aggregate
2025-09-26T14:31:02.010550,10.2,80.8,2012002474,724271064,531253,1265331,aggregate
2025-09-26T14:31:03.030113,11.2,80.8,2016112915,724389856,531581,1266509,aggregate
2025-09-26T14:31:04.042199,7.7,80.6,2019765425,724515573,531835,1267697,aggregate
2025-09-26T14:31:05.077539,5.2,80.6,2023285814,724631054,532174,1268904,aggregate
2025-09-26T14:31:06.094146,9.1,80.6,2027215322,724747546,532468,1270082,aggregate
2025-09-26T14:31:07.130207,7.9,80.6,2031678605,724875656,532877,1271460,aggregate
2025-09-26T14:31:08.149247,8.2,80.6,2035270405,724987184,533198,1272555,aggregate
2025-09-26T14:31:09.183348,8.1,80.6,2038997335,725111896,533573,1273779,aggregate
2025-09-26T14:31:10.210494,3.7,80.6,2042880058,725233442,533934,1275036,aggregate
2025-09-26T14:31:11.244687,5.6,80.6,2046849975,725361678,534290,1276297,aggregate
2025-09-26T14:31:12.253328,6.7,80.5,2051272605,725487163,534649,1277561,aggregate
2025-09-26T14:31:13.288780,7.8,80.4,2055265711,725615615,535024,1278866,aggregate
2025-09-26T14:31:14.306928,5.3,80.3,2059093822,725725823,535420,1280055,aggregate
2025-09-26T14:31:15.322905,8.3,80.3,2063353025,725852243,535807,1281358,aggregate
2025-09-26T14:31:16.343126,3.6,80.3,2067324354,725982536,536138,1282614,aggregate
2025-09-26T14:31:17.359990,7.0,80.4,2070981464,726097843,536452,1283780,aggregate
2025-09-26T14:31:18.386285,6.3,80.4,2074596285,726210320,536779,1284932,aggregate
2025-09-26T14:31:19.411681,5.0,80.5,2078332480,726343602,537083,1286162,aggregate
2025-09-26T14:31:20.444255,5.9,80.5,2082315580,726456283,537426,1287339,aggregate
2025-09-26T14:31:21.463700,8.3,80.6,2086525047,726582497,537809,1288620,aggregate
2025-09-26T14:31:22.494749,7.2,80.5,2090631818,726720874,538150,1289938,aggregate
2025-09-26T14:31:23.513118,6.1,80.4,2093848297,726838394,538473,1291103,aggregate
2025-09-26T14:31:24.546068,8.1,80.4,2097746217,726956224,538818,1292306,aggregate
2025-09-26T14:31:25.312074,6.3,80.3,2098892700,727011944,538976,1292800,aggregate
