ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-09-24T14:49:50.375353,0.0,77.4,1538526599,875583360,655772,1151079,aggregate
2025-09-24T14:49:51.422942,25.7,77.3,1538655250,875643818,655942,1151196,aggregate
2025-09-24T14:49:52.438200,4.8,77.3,1542001815,875746814,658423,1152123,aggregate
2025-09-24T14:49:53.451267,8.6,77.3,1545367859,875870696,660912,1153399,aggregate
2025-09-24T14:49:54.467810,12.9,77.0,1548622728,875984117,663321,1154611,aggregate
2025-09-24T14:49:55.485477,4.7,77.0,1551912909,876094772,665756,1155809,aggregate
2025-09-24T14:49:56.494278,14.0,76.7,1554756527,876194463,667855,1156887,aggregate
2025-09-24T14:49:57.512519,6.4,76.7,1557889822,876312773,670158,1158107,aggregate
2025-09-24T14:49:58.532823,8.0,76.8,1561294649,876439480,672688,1159300,aggregate
2025-09-24T14:49:59.548219,9.6,76.7,1564455359,876546708,675015,1160406,aggregate
2025-09-24T14:50:00.579614,8.8,76.8,1567185646,876650888,677024,1161480,aggregate
2025-09-24T14:50:01.596841,4.6,76.8,1570287488,876753452,679302,1162571,aggregate
2025-09-24T14:50:02.612757,7.1,76.8,1573374979,876849790,681553,1163582,aggregate
2025-09-24T14:50:03.630078,8.2,76.6,1576189616,876939887,683617,1164508,aggregate
2025-09-24T14:50:04.646805,5.2,76.6,1579420100,877037434,685988,1165471,aggregate
2025-09-24T14:50:05.659878,6.0,76.6,1582466173,877130889,688228,1166433,aggregate
2025-09-24T14:50:06.675749,8.9,76.6,1586064321,877236553,690863,1167504,aggregate
2025-09-24T14:50:07.698446,6.3,76.6,1588902723,877326794,692948,1168413,aggregate
2025-09-24T14:50:08.707709,6.3,76.6,1591439478,877413190,694817,1169218,aggregate
2025-09-24T14:50:09.723132,7.3,76.7,1594523573,877502053,697072,1170132,aggregate
2025-09-24T14:50:10.743604,5.1,76.7,1597398670,877593674,699188,1171014,aggregate
2025-09-24T14:50:11.750253,4.9,76.7,1600466961,877691299,701452,1171896,aggregate
2025-09-24T14:50:12.470289,8.2,76.6,1601769826,877748482,702411,1172432,aggregate
