ts,cpu_percent,ram_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,nic
2025-08-30T18:03:55.426935,0.0,78.7,242255871,136966400,51970,191447,aggregate
2025-08-30T18:03:56.438472,30.3,78.9,242369978,136999383,52021,191537,aggregate
2025-08-30T18:03:57.454729,4.7,78.9,243476344,137053006,52213,192053,aggregate
2025-08-30T18:03:58.489137,4.2,78.9,245064195,137102128,52414,192866,aggregate
2025-08-30T18:03:59.533049,5.3,79.0,246673268,137156260,52651,193767,aggregate
2025-08-30T18:04:00.543181,7.8,79.0,248346115,137215379,52836,194749,aggregate
2025-08-30T18:04:01.575496,7.2,79.0,249979226,137303174,53401,195843,aggregate
2025-08-30T18:04:02.642548,8.3,79.0,251773304,137371297,53947,196833,aggregate
2025-08-30T18:04:03.674904,5.0,79.0,252785684,137409339,54159,197447,aggregate
2025-08-30T18:04:04.691827,7.2,79.0,254205534,137462113,54583,198308,aggregate
2025-08-30T18:04:05.706925,18.7,78.9,255560986,137520771,54895,199052,aggregate
2025-08-30T18:04:06.732452,10.7,79.0,256692232,137564003,55153,199708,aggregate
2025-08-30T18:04:07.752846,6.0,78.9,257887033,137614814,55353,200434,aggregate
2025-08-30T18:04:08.759840,7.0,78.9,259241853,137662625,55582,201169,aggregate
2025-08-30T18:04:09.777471,9.4,79.0,260741739,137718150,55767,201935,aggregate
2025-08-30T18:04:10.794245,5.7,78.9,262183233,137769256,55968,202683,aggregate
2025-08-30T18:04:11.812686,4.3,79.0,263516971,137825491,56113,203343,aggregate
2025-08-30T18:04:12.848109,6.8,78.9,265133211,137874116,56286,204033,aggregate
2025-08-30T18:04:13.866205,6.4,78.9,266661872,137913925,56430,204632,aggregate
2025-08-30T18:04:14.888405,7.6,79.0,268410675,137957622,56600,205277,aggregate
2025-08-30T18:04:15.905207,8.1,79.0,269558789,137981312,56668,205672,aggregate
2025-08-30T18:04:16.923292,6.6,79.0,270909875,138019533,56788,206205,aggregate
2025-08-30T18:04:17.943194,5.3,79.0,272309940,138053347,56929,206698,aggregate
2025-08-30T18:04:18.961979,7.9,79.1,273862565,138096255,57052,207366,aggregate
2025-08-30T18:04:19.982225,7.2,79.1,275544397,138130755,57186,207941,aggregate
2025-08-30T18:04:20.999056,5.5,79.1,277129939,138167135,57328,208522,aggregate
2025-08-30T18:04:22.032527,10.5,79.3,278819397,138206789,57463,209181,aggregate
2025-08-30T18:04:23.052048,4.7,79.3,280427899,138260688,57602,209796,aggregate
2025-08-30T18:04:24.070765,4.6,79.3,282087646,138300406,57706,210436,aggregate
2025-08-30T18:04:25.091786,8.5,79.4,283610945,138329620,57850,210918,aggregate
2025-08-30T18:04:26.120846,6.0,79.4,284649062,138354618,57938,211332,aggregate
2025-08-30T18:04:27.128220,6.1,79.4,286367677,138398582,58115,211979,aggregate
2025-08-30T18:04:28.159143,6.4,79.5,288092866,138438576,58236,212621,aggregate
2025-08-30T18:04:29.182460,5.6,79.4,289857512,138487825,58479,213408,aggregate
2025-08-30T18:04:30.199728,9.2,79.4,291423039,138539608,59017,214141,aggregate
2025-08-30T18:04:31.218026,7.3,79.4,293235128,138590675,59209,214779,aggregate
2025-08-30T18:04:32.236475,8.0,79.4,295835668,138659219,59776,215873,aggregate
2025-08-30T18:04:33.255621,4.3,79.4,297062097,138692449,59960,216373,aggregate
2025-08-30T18:04:34.273910,7.8,79.4,299100476,138739555,60276,217129,aggregate
2025-08-30T18:04:35.292006,9.1,79.3,302791951,138843558,60750,218707,aggregate
2025-08-30T18:04:36.311021,6.1,79.4,305434692,138897228,60889,219601,aggregate
2025-08-30T18:04:37.330948,4.9,79.4,308140511,138954596,61018,220529,aggregate
2025-08-30T18:04:38.350668,5.9,79.3,311696225,139035857,61214,221822,aggregate
2025-08-30T18:04:39.369401,9.9,79.5,315828968,139138297,61475,223453,aggregate
2025-08-30T18:04:40.404309,9.7,79.5,319090829,139223499,62011,224797,aggregate
2025-08-30T18:04:41.422234,10.3,79.5,322376766,139333151,62952,226302,aggregate
2025-08-30T18:04:42.440130,9.5,79.5,325980005,139409395,63131,227545,aggregate
2025-08-30T18:04:43.460569,8.3,79.6,329889390,139491963,63351,228894,aggregate
2025-08-30T18:04:44.493207,8.9,79.7,333368838,139566455,63561,230129,aggregate
2025-08-30T18:04:45.512931,5.5,79.6,334807265,139615432,63906,230862,aggregate
2025-08-30T18:04:46.540461,8.0,79.6,338073348,139684174,64156,231951,aggregate
2025-08-30T18:04:47.566726,5.8,79.5,341474180,139756568,64362,233100,aggregate
2025-08-30T18:04:48.571763,7.5,79.5,345275679,139849853,64574,234402,aggregate
2025-08-30T18:04:49.590390,8.2,79.5,348791148,139924733,64824,235637,aggregate
2025-08-30T18:04:50.611793,7.7,79.6,352361603,140017490,65380,236913,aggregate
2025-08-30T18:04:51.640642,7.1,79.3,356060820,140086902,65653,238008,aggregate
2025-08-30T18:04:52.674703,6.9,79.3,359260180,140160319,65872,239120,aggregate
2025-08-30T18:04:53.691661,10.5,79.3,362687752,140228011,66075,240220,aggregate
2025-08-30T18:04:54.710039,7.4,79.3,366380262,140304566,66337,241486,aggregate
2025-08-30T18:04:55.731280,6.3,79.2,370020600,140383402,66571,242759,aggregate
2025-08-30T18:04:56.749979,6.0,79.2,373392933,140458714,66795,243994,aggregate
2025-08-30T18:04:57.768196,7.3,79.2,376640289,140536546,67011,245184,aggregate
2025-08-30T18:04:58.784927,8.0,79.1,380019764,140619526,67278,246484,aggregate
2025-08-30T18:04:59.802165,7.1,79.2,383275197,140691686,67486,247643,aggregate
2025-08-30T18:05:00.832512,7.4,79.1,386691079,140778704,67719,248791,aggregate
2025-08-30T18:05:03.428993,6.9,79.2,393499115,140926884,68243,251172,aggregate
2025-08-30T18:05:04.471254,6.7,79.2,397063912,141010464,68456,252463,aggregate
2025-08-30T18:05:05.480342,6.7,79.2,400649529,141076676,68756,253539,aggregate
2025-08-30T18:05:07.868301,6.2,79.3,408568039,141233709,69316,256150,aggregate
2025-08-30T18:05:08.903437,6.2,79.3,412012778,141308665,69602,257287,aggregate
2025-08-30T18:05:09.920636,9.0,79.4,415201192,141377266,69878,258335,aggregate
2025-08-30T18:05:10.935005,9.3,79.3,418804058,141452964,70154,259553,aggregate
2025-08-30T18:05:11.948546,11.7,79.3,422269693,141538635,70434,260722,aggregate
2025-08-30T18:05:12.979757,10.7,79.3,425793302,141617010,70679,261881,aggregate
2025-08-30T18:05:14.010307,7.9,79.3,429387898,141693244,70827,263104,aggregate
2025-08-30T18:05:15.024236,8.2,79.3,432878119,141762690,71033,264236,aggregate
2025-08-30T18:05:16.041818,7.5,79.2,436336412,141832149,71269,265350,aggregate
2025-08-30T18:05:17.057422,5.1,79.2,439924623,141909264,71476,266551,aggregate
2025-08-30T18:05:18.076570,8.4,79.3,443580293,141986094,71650,267761,aggregate
2025-08-30T18:05:19.099655,5.4,79.3,447151343,142053833,71803,268832,aggregate
2025-08-30T18:05:20.128122,6.0,79.4,451376848,142138297,72005,270207,aggregate
2025-08-30T18:05:21.145129,6.7,79.7,454703702,142204068,72120,271271,aggregate
2025-08-30T18:05:22.163025,8.1,79.6,458409546,142280504,72325,272464,aggregate
2025-08-30T18:05:23.199512,8.2,79.7,462282783,142342472,72463,273247,aggregate
2025-08-30T18:05:24.220028,7.7,79.7,465848979,142414252,72655,274417,aggregate
2025-08-30T18:05:25.268272,6.9,79.7,469424730,142488643,72874,275460,aggregate
2025-08-30T18:05:26.277726,5.3,79.8,473185908,142568184,73036,276728,aggregate
2025-08-30T18:05:27.293378,5.4,79.8,477062703,142652172,73160,278053,aggregate
2025-08-30T18:05:28.318142,15.3,79.8,481442143,142731461,73404,279318,aggregate
2025-08-30T18:05:29.324538,7.9,80.0,485153421,142810909,73482,280613,aggregate
2025-08-30T18:05:30.360947,9.8,80.0,488914914,142879313,73640,281706,aggregate
2025-08-30T18:05:31.377250,4.3,80.0,493061614,142960957,73788,283039,aggregate
2025-08-30T18:05:32.395186,8.2,80.0,496959158,143052390,73997,284271,aggregate
2025-08-30T18:05:33.412703,8.0,80.0,500286251,143118856,74108,285349,aggregate
2025-08-30T18:05:34.446285,5.2,80.1,504292185,143203669,74249,286739,aggregate
2025-08-30T18:05:35.466407,7.2,80.2,508312109,143282810,74446,287980,aggregate
2025-08-30T18:05:36.486757,5.2,80.1,512101095,143360151,74588,289188,aggregate
2025-08-30T18:05:37.500803,7.1,80.2,516023303,143443774,74678,290528,aggregate
2025-08-30T18:05:38.516643,9.1,80.6,520080596,143517670,74818,291692,aggregate
2025-08-30T18:05:39.532863,6.7,80.7,523769527,143586847,74925,292832,aggregate
2025-08-30T18:05:40.568988,7.0,80.6,527082369,143646261,75085,293795,aggregate
2025-08-30T18:05:41.594213,3.6,80.7,531000643,143726751,75158,295136,aggregate
2025-08-30T18:05:42.613045,7.0,80.6,534901599,143793803,75353,296253,aggregate
2025-08-30T18:05:43.624456,6.1,80.6,538856911,143871693,75540,297436,aggregate
2025-08-30T18:05:44.643849,4.4,80.6,542017262,143952251,75727,298485,aggregate
2025-08-30T18:05:45.661938,6.0,80.6,545218403,144016226,75864,299495,aggregate
2025-08-30T18:05:46.678607,7.1,80.6,548116363,144068933,75935,300301,aggregate
2025-08-30T18:05:47.700707,4.8,80.7,550892636,144125247,76026,301192,aggregate
2025-08-30T18:05:48.719984,9.9,80.7,554385503,144185139,76120,302150,aggregate
2025-08-30T18:05:49.754378,8.3,80.7,558070130,144238828,76269,302953,aggregate
2025-08-30T18:05:50.771099,6.2,80.5,561542454,144310245,76378,304087,aggregate
2025-08-30T18:05:51.798527,7.0,80.5,565148191,144409803,76622,305453,aggregate
2025-08-30T18:05:52.804695,4.8,80.6,569099378,144484798,76799,306677,aggregate
2025-08-30T18:05:54.283744,5.6,80.5,575593661,144621927,77002,308640,aggregate
2025-08-30T18:05:55.870736,10.6,80.9,581827937,144752235,77204,310732,aggregate
2025-08-30T18:05:56.875892,8.0,81.0,585643902,144815407,77329,311756,aggregate
2025-08-30T18:05:57.893757,9.1,81.1,589727190,144897667,77424,313125,aggregate
2025-08-30T18:05:58.912434,4.3,81.1,593345552,144972979,77511,314377,aggregate
2025-08-30T18:05:59.934188,6.2,81.1,597384667,145033319,77582,315355,aggregate
2025-08-30T18:06:00.955209,10.4,81.0,601026126,145104939,77745,316494,aggregate
2025-08-30T18:06:01.973058,8.4,80.9,605031099,145190355,77918,317891,aggregate
2025-08-30T18:06:03.008720,6.4,81.0,607524833,145248081,78006,318772,aggregate
2025-08-30T18:06:04.011937,4.5,81.0,610666619,145313301,78079,319859,aggregate
2025-08-30T18:06:05.047914,5.2,81.0,610965576,145341531,78193,320075,aggregate
2025-08-30T18:06:06.054193,5.6,81.0,614382389,145414137,78281,321257,aggregate
2025-08-30T18:06:07.070903,5.6,80.9,618493771,145525972,78724,322970,aggregate
2025-08-30T18:06:08.092315,6.8,80.9,622232027,145638181,79243,324694,aggregate
2025-08-30T18:06:09.111122,10.3,80.7,625961528,145722573,79326,326071,aggregate
2025-08-30T18:06:10.127464,5.4,80.7,630207843,145810959,79466,327512,aggregate
2025-08-30T18:06:11.150118,6.9,80.7,634192961,145884219,79580,328687,aggregate
2025-08-30T18:06:12.170311,6.4,80.7,637671959,145960505,79705,329584,aggregate
2025-08-30T18:06:13.183472,6.9,80.6,641451198,146045841,79863,330881,aggregate
2025-08-30T18:06:14.204981,6.5,80.6,644633644,146118449,79984,332017,aggregate
2025-08-30T18:06:15.241123,5.7,80.6,648206972,146196952,80082,333272,aggregate
2025-08-30T18:06:16.291577,6.1,80.6,651681609,146290678,80411,334683,aggregate
2025-08-30T18:06:17.310555,6.8,80.6,655456339,146399562,80870,336386,aggregate
2025-08-30T18:06:18.314493,8.4,80.6,658637324,146495730,81595,337868,aggregate
2025-08-30T18:06:19.336157,7.4,80.5,662303909,146645670,82669,340100,aggregate
2025-08-30T18:06:20.365255,10.2,80.6,666427446,146791246,83600,342306,aggregate
2025-08-30T18:06:21.395728,10.6,80.5,670692721,146894197,83754,343785,aggregate
2025-08-30T18:06:22.414011,6.1,80.5,674461670,146974123,83868,345115,aggregate
2025-08-30T18:06:23.438883,9.4,80.6,678609295,147063782,84066,346538,aggregate
2025-08-30T18:06:24.444628,6.6,80.5,682595109,147152162,84251,347974,aggregate
2025-08-30T18:06:25.463985,4.8,80.5,686795828,147248500,84413,349506,aggregate
2025-08-30T18:06:26.483977,5.3,80.5,690565923,147338118,84557,350945,aggregate
2025-08-30T18:06:27.500995,8.5,80.5,694419866,147460440,84742,352819,aggregate
2025-08-30T18:06:28.520818,5.2,80.5,698427125,147557152,84889,354395,aggregate
2025-08-30T18:06:29.538291,7.3,80.4,701852432,147632756,85064,355607,aggregate
2025-08-30T18:06:30.562094,7.6,80.4,704595113,147708552,85290,356773,aggregate
2025-08-30T18:06:31.576970,6.2,80.4,707334628,147777187,85422,357782,aggregate
2025-08-30T18:06:32.601896,5.8,80.5,709763682,147828787,85457,358642,aggregate
2025-08-30T18:06:33.615992,8.6,80.5,712689323,147898486,85669,359682,aggregate
2025-08-30T18:06:34.640080,6.4,80.4,716591309,147994552,86057,361174,aggregate
2025-08-30T18:06:35.652866,5.7,80.5,720584206,148078716,86209,362527,aggregate
2025-08-30T18:06:36.682438,6.8,80.5,724850237,148171616,86363,364038,aggregate
2025-08-30T18:06:37.691157,8.6,80.4,729084590,148270136,86574,365582,aggregate
2025-08-30T18:06:38.710785,5.2,80.4,732440402,148346508,86695,366794,aggregate
2025-08-30T18:06:39.728266,11.1,80.5,735205101,148405862,86854,367756,aggregate
2025-08-30T18:06:40.746876,3.8,80.4,737870353,148482337,86970,368782,aggregate
2025-08-30T18:06:41.765866,5.0,80.4,740127412,148531003,87055,369587,aggregate
2025-08-30T18:06:42.783807,7.0,80.4,743053974,148596239,87242,370645,aggregate
2025-08-30T18:06:43.803046,6.4,80.4,745973438,148676001,87530,371855,aggregate
2025-08-30T18:06:44.822294,6.6,80.3,749034978,148760309,87779,373171,aggregate
2025-08-30T18:06:45.840209,8.5,80.5,752477770,148832883,87865,374375,aggregate
2025-08-30T18:06:46.858232,7.0,80.4,756329059,148924723,88151,375803,aggregate
2025-08-30T18:06:47.876985,7.0,80.4,760469520,149027473,88351,377252,aggregate
2025-08-30T18:06:48.894318,7.3,80.4,764562146,149124620,88617,378660,aggregate
2025-08-30T18:06:49.910958,6.6,80.4,768740549,149218591,88822,380090,aggregate
2025-08-30T18:06:50.944884,9.5,80.4,772880562,149310561,89031,381506,aggregate
2025-08-30T18:06:51.948064,7.6,80.4,776860571,149401160,89404,382754,aggregate
2025-08-30T18:06:53.680632,7.3,80.3,783499372,149534944,89993,384958,aggregate
2025-08-30T18:06:54.716799,6.2,80.2,787284245,149613098,90222,386179,aggregate
2025-08-30T18:06:55.736082,7.4,80.5,791382199,149697340,90433,387557,aggregate
2025-08-30T18:06:56.771711,4.7,80.4,795078431,149774500,90577,388843,aggregate
2025-08-30T18:06:57.789574,5.2,80.4,799223776,149858814,90796,390222,aggregate
2025-08-30T18:06:58.806831,6.6,80.4,803181205,149940400,90977,391578,aggregate
2025-08-30T18:06:59.825844,3.8,80.4,807216938,150026808,91224,392991,aggregate
2025-08-30T18:07:00.863100,6.6,80.4,811160162,150125720,91498,394373,aggregate
2025-08-30T18:07:01.882940,5.7,80.5,814486858,150140150,91597,394583,aggregate
2025-08-30T18:07:02.917841,4.1,80.4,817462711,150193656,91902,395444,aggregate
2025-08-30T18:07:03.955370,6.2,80.4,821451534,150280222,92134,396834,aggregate
2025-08-30T18:07:04.976211,6.1,80.4,825199192,150362334,92369,398175,aggregate
2025-08-30T18:07:05.994788,8.9,80.3,829065366,150453016,92712,399623,aggregate
2025-08-30T18:07:07.014313,6.7,80.3,833227634,150546594,93006,401142,aggregate
2025-08-30T18:07:08.032287,5.1,80.3,837111953,150634940,93234,402559,aggregate
2025-08-30T18:07:09.065925,6.9,80.3,840604568,150712950,93409,403804,aggregate
2025-08-30T18:07:10.068703,6.2,80.3,843799597,150785572,93548,404986,aggregate
2025-08-30T18:07:11.103805,7.1,80.4,847136712,150858554,93676,406174,aggregate
2025-08-30T18:07:12.139913,5.4,80.4,849366315,150920402,93906,406938,aggregate
2025-08-30T18:07:13.157379,4.8,80.5,851403627,150963182,93938,407651,aggregate
2025-08-30T18:07:14.177326,3.6,80.5,853607314,151013778,94040,408442,aggregate
2025-08-30T18:07:15.194860,8.8,80.4,856175415,151077164,94174,409395,aggregate
2025-08-30T18:07:16.211999,5.9,80.1,858979176,151147614,94301,410439,aggregate
2025-08-30T18:07:17.232398,6.3,80.0,861556026,151206634,94459,411362,aggregate
2025-08-30T18:07:18.249092,6.2,80.1,864925183,151277785,94643,412522,aggregate
2025-08-30T18:07:19.283855,6.5,80.0,868240149,151353881,94810,413737,aggregate
2025-08-30T18:07:20.319090,3.0,80.1,871513180,151422881,94901,414887,aggregate
2025-08-30T18:07:21.338402,7.3,80.1,875291530,151524054,95178,416280,aggregate
2025-08-30T18:07:22.372856,4.0,80.1,879356475,151611950,95423,417719,aggregate
2025-08-30T18:07:23.407060,5.7,80.1,882782185,151686400,95645,418934,aggregate
2025-08-30T18:07:24.423397,7.1,80.1,886622890,151774076,95861,420344,aggregate
2025-08-30T18:07:25.442228,8.2,80.0,890529877,151859104,96054,421733,aggregate
2025-08-30T18:07:26.460886,7.8,80.0,893969625,151934047,96281,422930,aggregate
2025-08-30T18:07:27.501087,10.7,80.1,897448102,152009543,96866,424143,aggregate
2025-08-30T18:07:29.589014,7.9,80.0,905337319,152169497,97732,426751,aggregate
2025-08-30T18:07:30.606969,6.6,80.0,909077406,152260349,98237,428001,aggregate
2025-08-30T18:07:32.369216,8.7,79.9,915684164,152401944,98725,430157,aggregate
2025-08-30T18:07:33.402558,7.2,79.9,919095960,152475816,98956,431353,aggregate
