m;s;T;cpu_percent;ram_percent;bytes_sent;bytes_recv;packets_sent;packets_recv;nic;Ds;Bytes sent each;Mbs;;Mbs avg;26,80357251
3;55,426935;235,426935;0;78,7;242255871;136966400;51970;191447;aggregate;;;;;;
3;56,438472;236,438472;30,3;78,9;242369978;136999383;52021;191537;aggregate;1,011537;114107;0,912856;;Bytes totales;897919679
3;57,454729;237,454729;4,7;78,9;243476344;137053006;52213;192053;aggregate;1,016257;1106366;8,850928;;;
3;58,489137;238,489137;4,2;78,9;245064195;137102128;52414;192866;aggregate;1,034408;1587851;12,702808;;;
3;59,533049;239,533049;5,3;79;246673268;137156260;52651;193767;aggregate;1,043912;1609073;12,872584;;;
4;0,543181;240,543181;7,8;79;248346115;137215379;52836;194749;aggregate;1,010132;1672847;13,382776;;;
4;1,575496;241,575496;7,2;79;249979226;137303174;53401;195843;aggregate;1,032315;1633111;13,064888;;;
4;2,642548;242,642548;8,3;79;251773304;137371297;53947;196833;aggregate;1,067052;1794078;14,352624;;;
4;3,674904;243,674904;5;79;252785684;137409339;54159;197447;aggregate;1,032356;1012380;8,09904;;;
4;4,691827;244,691827;7,2;79;254205534;137462113;54583;198308;aggregate;1,016923;1419850;11,3588;;;
4;5,706925;245,706925;18,7;78,9;255560986;137520771;54895;199052;aggregate;1,015098;1355452;10,843616;;;
4;6,732452;246,732452;10,7;79;256692232;137564003;55153;199708;aggregate;1,025527;1131246;9,049968;;;
4;7,752846;247,752846;6;78,9;257887033;137614814;55353;200434;aggregate;1,020394;1194801;9,558408;;;
4;8,75984;248,75984;7;78,9;259241853;137662625;55582;201169;aggregate;1,006994;1354820;10,83856;;;
4;9,777471;249,777471;9,4;79;260741739;137718150;55767;201935;aggregate;1,017631;1499886;11,999088;;;
4;10,794245;250,794245;5,7;78,9;262183233;137769256;55968;202683;aggregate;1,016774;1441494;11,531952;;;
4;11,812686;251,812686;4,3;79;263516971;137825491;56113;203343;aggregate;1,018441;1333738;10,669904;;;
4;12,848109;252,848109;6,8;78,9;265133211;137874116;56286;204033;aggregate;1,035423;1616240;12,92992;;;
4;13,866205;253,866205;6,4;78,9;266661872;137913925;56430;204632;aggregate;1,018096;1528661;12,229288;;;
4;14,888405;254,888405;7,6;79;268410675;137957622;56600;205277;aggregate;1,0222;1748803;13,990424;;;
4;15,905207;255,905207;8,1;79;269558789;137981312;56668;205672;aggregate;1,016802;1148114;9,184912;;;
4;16,923292;256,923292;6,6;79;270909875;138019533;56788;206205;aggregate;1,018085;1351086;10,808688;;;
4;17,943194;257,943194;5,3;79;272309940;138053347;56929;206698;aggregate;1,019902;1400065;11,20052;;;
4;18,961979;258,961979;7,9;79,1;273862565;138096255;57052;207366;aggregate;1,018785;1552625;12,421;;;
4;19,982225;259,982225;7,2;79,1;275544397;138130755;57186;207941;aggregate;1,020246;1681832;13,454656;;;
4;20,999056;260,999056;5,5;79,1;277129939;138167135;57328;208522;aggregate;1,016831;1585542;12,684336;;;
4;22,032527;262,032527;10,5;79,3;278819397;138206789;57463;209181;aggregate;1,033471;1689458;13,515664;;;
4;23,052048;263,052048;4,7;79,3;280427899;138260688;57602;209796;aggregate;1,019521;1608502;12,868016;;;
4;24,070765;264,070765;4,6;79,3;282087646;138300406;57706;210436;aggregate;1,018717;1659747;13,277976;;;
4;25,091786;265,091786;8,5;79,4;283610945;138329620;57850;210918;aggregate;1,021021;1523299;12,186392;;;
4;26,120846;266,120846;6;79,4;284649062;138354618;57938;211332;aggregate;1,02906;1038117;8,304936;;;
4;27,12822;267,12822;6,1;79,4;286367677;138398582;58115;211979;aggregate;1,007374;1718615;13,74892;;;
4;28,159143;268,159143;6,4;79,5;288092866;138438576;58236;212621;aggregate;1,030923;1725189;13,801512;;;
4;29,18246;269,18246;5,6;79,4;289857512;138487825;58479;213408;aggregate;1,023317;1764646;14,117168;;;
4;30,199728;270,199728;9,2;79,4;291423039;138539608;59017;214141;aggregate;1,017268;1565527;12,524216;;;
4;31,218026;271,218026;7,3;79,4;293235128;138590675;59209;214779;aggregate;1,018298;1812089;14,496712;;;
4;32,236475;272,236475;8;79,4;295835668;138659219;59776;215873;aggregate;1,018449;2600540;20,80432;;;
4;33,255621;273,255621;4,3;79,4;297062097;138692449;59960;216373;aggregate;1,019146;1226429;9,811432;;;
4;34,27391;274,27391;7,8;79,4;299100476;138739555;60276;217129;aggregate;1,018289;2038379;16,307032;;;
4;35,292006;275,292006;9,1;79,3;302791951;138843558;60750;218707;aggregate;1,018096;3691475;29,5318;;;
4;36,311021;276,311021;6,1;79,4;305434692;138897228;60889;219601;aggregate;1,019015;2642741;21,141928;;;
4;37,330948;277,330948;4,9;79,4;308140511;138954596;61018;220529;aggregate;1,019927;2705819;21,646552;;;
4;38,350668;278,350668;5,9;79,3;311696225;139035857;61214;221822;aggregate;1,01972;3555714;28,445712;;;
4;39,369401;279,369401;9,9;79,5;315828968;139138297;61475;223453;aggregate;1,018733;4132743;33,061944;;;
4;40,404309;280,404309;9,7;79,5;319090829;139223499;62011;224797;aggregate;1,034908;3261861;26,094888;;;
